days_as_customer,transactions_per_month,support_tickets,avg_spend,churn
982,12.35,1,107.12,0
675,16.42,2,80.56,0
825,2.93,5,499.74,0
57,7.64,7,314.96,0
649,16.74,2,221.18,0
585,13.51,5,151.2,0
369,10.65,3,305.92,0
827,22.19,5,34.3,0
987,21.12,1,56.39,0
360,5.84,2,26.1,0
669,26.48,4,254.59,0
535,15.37,2,304.3,0
377,22.5,2,40.62,0
502,17.62,6,363.4,0
260,29.93,0,122.89,0
219,22.82,7,345.75,1
254,21.5,4,491.13,0
414,23.58,3,348.64,0
406,5.15,2,442.76,0
312,6.93,6,474.62,1
987,21.71,4,248.51,0
662,15.33,3,354.14,0
657,22.88,0,427.46,0
774,3.98,2,184.74,0
288,16.56,5,138.08,0
388,11.99,2,473.83,0
739,14.25,2,365.89,0
485,18.51,2,117.64,0
440,15.57,3,230.05,0
678,16.66,3,400.26,0
347,15.1,3,278.06,0
706,12.86,3,328.48,0
254,23.38,2,379.35,0
848,1.35,2,314.78,1
263,18.35,5,274.64,0
713,17.4,1,377.31,1
693,21.77,2,366.51,0
856,18.37,2,318.64,0
403,24.98,0,186.3,0
701,28.81,0,208.85,0
637,10.93,3,485.51,0
501,7.59,1,65.07,0
262,13.28,4,141.57,0
721,9.35,4,251.28,0
142,18.83,1,420.0,0
859,27.44,6,90.2,0
526,5.03,1,145.71,0
471,3.92,3,42.24,0
593,8.42,3,355.93,0
297,22.06,0,126.72,0
539,18.2,1,200.45,0
836,3.96,1,227.41,0
415,27.64,4,446.74,0
416,23.91,1,211.55,0
142,1.67,2,81.16,0
642,19.89,0,266.91,0
654,23.37,1,481.85,0
981,11.86,4,307.77,0
110,3.0,4,491.86,0
728,3.24,3,422.14,0
142,4.02,1,27.62,0
31,25.37,2,332.62,0
671,27.41,1,150.52,0
249,4.56,3,284.21,0
595,7.84,3,146.88,0
884,5.8,0,180.95,0
765,6.4,3,462.35,0
254,25.29,2,111.26,0
414,10.63,3,438.31,0
432,10.03,1,24.92,0
667,7.59,3,54.53,0
159,18.63,0,428.79,0
82,12.0,1,318.97,0
713,22.58,3,376.15,0
759,6.96,3,112.61,0
701,23.85,3,273.17,0
739,18.51,2,371.24,0
445,4.31,3,317.38,0
276,13.02,1,241.13,0
865,26.04,4,480.29,0
468,27.77,3,341.32,0
232,14.51,1,454.8,0
213,14.94,1,367.59,0
152,27.64,2,370.38,0
430,18.02,2,49.21,0
796,1.95,2,186.14,0
323,27.47,2,430.6,0
309,8.2,2,123.98,0
866,17.75,1,66.6,0
913,5.8,1,169.79,0
639,1.98,4,118.01,1
227,10.03,0,463.39,0
936,23.63,2,435.3,0
540,9.05,3,254.84,1
781,7.38,3,40.06,0
173,7.17,5,360.14,0
638,15.94,1,315.47,0
230,29.29,3,485.57,0
153,14.31,5,283.89,0
216,17.16,2,174.83,0
355,25.96,1,264.32,0
493,16.52,5,489.84,0
378,6.35,5,351.22,0
800,9.69,1,339.27,0
689,9.99,1,127.93,0
793,12.52,0,374.37,0
984,13.38,3,377.63,0
961,24.19,1,165.47,0
432,11.13,1,247.02,0
375,14.58,3,154.36,0
992,19.12,5,136.77,0
540,11.95,3,22.69,1
176,25.26,0,149.75,0
177,18.04,3,281.45,0
893,9.53,2,10.78,0
740,21.71,1,148.78,0
849,16.3,1,441.89,0
518,16.5,1,300.89,0
958,14.95,1,307.85,0
965,15.41,0,207.65,0
669,23.2,2,341.47,0
580,3.99,5,103.07,1
367,10.7,3,411.19,0
901,3.19,4,67.18,0
670,22.84,1,331.44,0
808,8.9,3,177.16,0
982,27.03,3,376.28,0
502,16.27,2,279.38,0
975,24.22,1,231.65,0
180,29.39,3,93.02,0
444,25.35,1,322.04,0
327,26.14,2,487.64,0
640,12.83,0,414.55,0
292,17.0,1,39.4,0
793,8.36,2,194.35,0
173,6.69,1,463.54,0
375,15.66,5,256.49,0
653,18.26,4,334.43,0
601,10.84,0,457.17,0
910,17.51,2,438.16,0
31,26.74,1,255.89,0
926,17.14,2,224.45,0
333,21.9,2,176.45,0
283,24.35,4,362.32,0
681,29.67,1,150.62,0
482,18.49,2,132.44,0
66,24.4,3,184.56,0
189,28.92,0,96.84,0
38,28.39,1,350.61,0
262,5.09,0,311.96,0
128,12.79,4,246.61,0
688,10.4,2,201.26,0
845,3.52,2,455.44,0
237,19.36,3,24.27,0
160,22.34,1,386.86,0
433,25.6,6,451.94,0
181,4.56,4,228.71,1
83,26.42,2,279.84,0
149,19.64,3,472.79,0
702,21.41,5,114.02,1
949,27.41,5,264.87,0
657,19.12,3,242.61,0
616,10.74,2,136.61,0
654,24.93,1,411.11,0
997,11.53,3,450.8,0
449,1.99,3,393.15,0
451,25.09,4,105.73,0
133,11.01,2,52.51,0
881,23.44,2,306.67,0
283,11.52,1,37.98,0
256,25.97,6,339.68,0
141,7.37,3,269.91,1
539,29.26,1,334.77,0
502,23.61,3,299.18,0
128,4.31,0,217.12,0
182,17.41,3,108.43,0
890,29.58,3,159.79,0
943,14.66,4,267.01,0
925,6.28,3,329.42,1
907,15.06,2,391.95,0
367,15.86,3,385.91,0
735,22.51,2,486.62,0
851,21.27,2,150.06,0
192,12.67,2,44.84,0
749,7.32,4,179.37,0
986,19.71,0,374.21,0
710,13.23,3,224.67,0
190,4.84,3,410.72,1
609,27.12,2,279.17,0
830,21.05,1,465.6,0
427,20.81,7,474.45,0
306,24.85,8,43.96,0
845,16.36,3,233.64,0
945,24.64,3,308.75,0
533,15.44,0,135.38,0
925,2.95,1,209.47,0
421,12.75,1,342.06,0
164,15.43,3,121.1,0
224,21.89,1,304.97,0
430,4.09,3,351.75,0
669,5.06,3,54.34,1
62,8.65,1,253.79,0
717,8.73,2,138.91,0
489,22.23,2,364.95,0
984,8.27,1,102.88,0
912,19.36,3,447.2,0
499,15.33,1,221.16,0
404,17.63,1,107.02,0
51,25.31,3,224.63,0
779,12.73,1,210.28,0
699,23.36,5,220.17,0
67,13.24,2,296.93,0
259,11.26,1,265.38,0
394,28.8,3,83.39,0
592,6.35,2,42.13,0
467,3.62,3,367.41,1
805,23.36,4,284.26,0
312,2.98,3,185.91,0
56,25.28,2,406.1,0
255,13.68,2,200.15,0
306,27.55,1,400.02,0
827,21.92,1,159.82,0
638,18.7,2,45.69,1
313,28.53,3,466.99,0
908,12.5,1,203.33,0
989,28.67,1,398.42,0
510,4.92,3,146.78,0
482,15.03,0,326.72,0
858,8.83,2,437.92,0
845,16.66,1,30.41,0
688,5.7,1,417.01,0
545,25.4,5,289.95,0
576,25.55,2,307.66,0
221,28.7,2,266.35,0
78,5.49,5,438.49,1
541,19.08,2,31.28,0
46,14.75,0,137.9,0
201,10.99,3,439.12,0
249,11.19,1,378.65,0
187,12.97,6,18.65,1
506,21.44,6,263.33,0
75,18.35,2,269.49,0
402,14.33,2,206.43,0
547,3.2,2,155.72,1
128,3.26,2,344.05,0
921,1.07,3,111.82,0
774,29.06,1,401.48,0
66,1.15,1,403.49,0
309,3.99,3,213.48,1
378,10.12,2,148.94,0
526,24.42,2,149.1,0
331,28.9,1,246.32,0
210,23.91,5,362.59,0
636,21.03,6,185.85,0
128,16.12,0,308.92,0
729,3.51,2,197.42,0
145,28.79,3,159.22,0
220,22.99,4,22.18,1
282,19.53,3,11.92,1
957,23.01,3,121.33,0
190,22.0,3,209.14,0
285,19.48,2,427.12,0
352,29.44,5,401.26,0
157,27.2,2,140.91,1
47,19.75,1,129.82,0
822,21.1,3,121.39,1
764,2.5,3,176.23,1
595,20.43,2,254.12,0
599,2.28,3,224.95,0
352,18.06,2,116.95,0
901,29.98,3,73.92,0
715,17.12,1,16.16,0
821,14.72,1,85.44,0
655,10.07,0,355.62,0
317,4.5,0,129.38,0
972,22.2,2,239.61,0
883,6.59,2,299.74,1
692,4.34,1,444.55,0
991,13.23,4,445.54,0
668,24.06,1,375.41,0
184,22.61,1,27.23,0
519,2.59,2,291.78,0
415,14.2,3,395.43,0
814,16.15,4,18.47,0
133,19.69,1,279.35,0
958,19.85,3,430.3,0
422,11.58,2,242.31,0
840,17.26,4,12.01,1
275,14.95,2,15.4,0
205,26.66,2,214.15,0
68,16.38,2,85.95,0
506,13.79,1,335.58,0
711,12.73,1,357.31,0
788,17.6,2,97.16,0
567,24.32,1,445.38,0
896,16.61,5,226.53,0
847,20.19,3,79.99,0
950,22.4,1,384.48,0
437,16.08,0,397.09,0
554,13.38,2,323.25,0
857,26.42,3,428.2,0
535,13.11,1,371.31,0
932,14.4,2,442.28,0
854,29.72,6,222.61,1
65,1.01,2,376.32,1
714,6.38,0,499.88,0
49,12.13,4,365.22,1
350,28.05,6,65.95,0
805,3.03,2,263.98,0
541,1.28,1,297.8,0
429,2.53,2,95.36,0
683,3.57,1,481.82,0
912,2.09,1,96.03,0
500,14.91,1,97.0,0
172,17.84,4,458.43,0
121,8.88,4,237.95,0
383,12.55,3,40.96,1
863,3.66,3,303.11,1
829,10.75,3,304.89,0
756,16.15,2,41.61,0
988,22.24,6,486.54,0
883,1.1,3,276.57,0
80,14.55,2,284.3,0
694,9.61,1,264.86,0
727,25.73,2,309.26,0
604,21.75,3,139.51,0
219,18.08,5,150.75,1
154,9.04,2,260.56,0
179,27.4,1,405.28,0
343,2.31,0,34.43,0
599,4.17,1,305.67,0
371,12.36,0,405.32,0
334,4.61,3,86.89,0
721,28.74,4,17.36,0
711,24.14,2,163.23,0
867,8.51,1,298.19,0
812,18.07,5,77.76,0
83,29.49,0,218.8,0
473,26.64,4,280.64,0
642,18.42,2,303.45,0
293,27.21,5,144.46,0
82,29.69,2,206.01,0
601,22.56,0,391.39,0
649,2.88,5,471.2,0
34,12.65,2,432.32,0
132,25.3,1,286.5,0
225,7.69,7,211.04,1
803,25.09,1,173.15,0
906,4.49,3,71.23,0
913,2.36,4,62.21,0
379,12.14,4,347.3,0
76,2.07,0,137.3,0
896,28.76,1,134.78,0
852,24.96,3,499.12,0
965,24.22,1,102.08,0
849,19.26,0,82.55,0
685,7.27,1,58.36,0
298,16.03,6,294.1,0
399,18.32,7,317.65,1
665,16.23,1,188.96,0
135,8.55,1,272.35,0
699,15.94,2,396.32,0
688,15.24,2,410.87,0
686,29.89,2,479.38,0
149,27.03,2,413.89,0
860,14.44,0,286.77,0
816,19.07,7,98.03,1
633,22.69,2,58.88,0
87,2.01,4,36.71,0
980,26.95,1,336.6,0
375,25.94,2,405.69,0
770,14.27,2,259.26,0
503,12.34,4,36.81,0
146,8.92,5,272.38,0
859,14.82,4,468.52,0
820,2.29,7,302.83,1
156,25.71,5,406.62,0
422,2.03,6,402.07,0
937,10.54,3,466.74,0
670,28.02,3,387.41,0
87,22.32,2,376.37,0
663,9.16,4,124.71,0
542,8.33,2,39.36,0
780,1.15,3,263.62,1
831,21.18,2,70.97,0
125,2.41,1,481.48,0
667,16.45,3,152.06,0
147,28.9,1,427.94,0
589,4.17,4,199.94,0
630,26.94,2,168.37,0
517,29.75,3,468.23,0
266,2.78,2,188.03,0
914,26.6,1,201.24,0
926,15.97,3,61.98,0
301,27.29,3,338.52,0
218,17.57,2,151.53,0
733,20.2,6,296.95,0
476,16.77,1,299.76,0
610,26.07,2,362.41,0
819,22.28,0,375.17,0
890,16.12,3,262.08,0
276,26.18,2,172.19,0
992,8.11,1,420.35,0
105,5.56,1,161.83,0
183,5.65,1,258.68,0
685,10.69,4,206.61,0
464,7.92,5,428.99,1
115,27.97,1,221.64,0
726,4.07,0,199.19,0
314,21.27,2,348.01,0
249,6.49,4,305.2,0
98,26.57,3,62.55,0
76,28.88,3,259.0,0
123,14.5,2,370.38,0
779,26.49,1,496.12,0
987,1.15,2,318.28,0
482,24.78,1,191.44,0
233,7.63,2,120.81,0
941,27.35,3,437.69,1
247,1.03,1,409.14,0
503,17.13,6,124.62,1
461,22.94,2,108.31,0
370,8.5,1,360.42,0
580,6.6,2,164.33,0
641,3.44,2,160.14,0
318,10.47,3,84.62,0
283,17.24,1,139.35,0
763,4.36,2,219.48,0
386,11.92,2,369.09,0
52,1.26,2,174.79,0
791,24.74,2,171.02,0
551,4.73,2,149.61,0
787,9.22,4,244.36,1
866,1.53,0,98.51,0
129,13.53,3,247.96,0
831,25.36,4,355.05,0
209,12.37,0,24.6,0
252,6.21,1,14.79,0
935,22.86,2,46.81,0
791,23.88,1,272.47,0
688,6.04,4,428.68,0
471,23.35,2,12.39,0
637,28.47,5,468.96,0
798,5.82,3,62.08,0
354,23.36,2,422.57,0
545,21.55,3,246.6,0
45,14.73,4,333.09,0
821,2.68,5,260.23,0
365,3.17,4,243.75,1
788,25.72,1,419.1,0
287,29.71,1,380.38,0
526,20.61,1,246.87,0
925,13.93,2,64.7,0
189,19.78,1,66.55,0
504,18.24,1,402.75,0
881,12.12,6,269.4,1
693,2.9,3,245.98,0
937,24.82,3,343.48,0
719,11.78,2,430.83,0
704,24.74,4,318.15,0
409,8.32,2,383.8,0
574,1.03,1,384.98,0
958,5.61,4,184.57,1
986,14.59,2,144.3,0
720,28.38,5,402.57,0
456,3.96,0,194.82,0
642,25.77,2,452.63,0
297,16.28,3,44.15,0
864,24.95,2,38.53,0
606,9.65,3,464.23,0
446,25.36,2,327.74,0
197,23.41,3,196.0,0
871,7.67,1,379.98,0
72,4.81,2,339.44,0
585,26.17,2,270.29,0
314,28.93,2,58.45,0
426,1.91,6,407.97,1
41,22.21,2,434.35,0
636,27.38,1,94.36,0
331,25.86,2,426.75,0
927,28.97,2,440.15,0
282,23.04,4,279.22,0
528,13.83,2,331.53,0
783,10.05,2,197.3,0
64,10.3,3,148.08,0
756,22.01,4,363.77,0
878,22.63,3,432.32,0
119,6.81,4,330.5,0
805,26.18,3,260.68,0
634,21.73,0,87.87,0
951,17.32,3,36.19,1
999,14.67,0,228.39,0
631,16.75,3,34.18,1
447,5.62,3,288.97,0
144,6.91,3,197.54,0
646,3.64,0,381.02,0
932,5.46,0,159.77,0
225,14.16,2,300.56,0
855,16.38,2,273.46,0
530,1.52,2,12.31,1
655,24.11,2,45.47,0
522,9.53,3,152.28,0
104,27.44,0,442.3,0
442,29.06,0,82.04,0
405,6.38,1,358.34,0
449,14.4,3,486.95,0
758,1.04,1,397.38,0
306,18.35,4,129.04,1
790,18.61,4,455.1,0
705,8.18,1,55.62,0
423,17.19,3,239.39,0
898,7.54,6,444.9,0
486,5.66,3,324.22,0
949,19.89,0,212.69,0
221,10.45,2,153.48,0
768,18.12,2,193.8,0
718,13.56,5,259.38,0
128,29.55,3,166.33,0
577,5.34,3,484.79,0
125,14.47,4,467.21,0
693,20.73,0,436.63,0
692,12.47,1,216.7,0
219,29.27,1,348.74,0
765,21.93,1,452.39,0
66,20.05,1,426.71,0
809,22.95,2,213.02,0
398,28.63,1,65.07,0
724,27.33,1,47.06,0
554,22.0,1,292.76,0
308,22.73,3,324.89,1
246,5.23,3,426.42,1
896,3.98,1,153.33,0
902,17.56,2,92.06,0
827,1.53,0,195.71,0
302,14.99,4,183.25,1
910,7.1,3,74.91,1
91,11.03,3,339.42,0
625,23.5,5,259.26,0
909,28.3,2,363.35,0
758,3.1,1,182.82,0
371,16.49,1,169.59,0
426,26.59,3,241.56,0
728,3.39,2,439.93,0
48,24.91,5,29.74,0
206,11.38,1,404.37,0
641,10.34,3,190.8,0
425,29.35,3,428.76,0
474,6.82,3,403.08,0
262,21.1,2,180.89,0
944,24.82,0,350.0,0
105,2.19,2,88.22,0
294,20.44,1,449.18,0
484,28.59,4,208.2,0
825,4.6,1,233.26,0
747,26.99,4,355.82,0
764,18.25,2,412.21,0
413,18.88,1,125.81,0
593,18.78,1,334.06,0
880,9.67,2,202.08,0
535,28.12,4,190.66,0
396,28.47,2,348.11,0
173,19.13,5,199.72,0
914,23.72,1,179.59,0
98,18.76,3,419.59,0
128,15.05,1,59.63,0
425,20.16,3,341.19,0
54,17.04,3,131.88,1
977,18.33,3,17.59,0
920,23.73,1,91.71,0
498,14.95,2,307.26,0
513,2.18,1,357.47,0
594,5.76,2,20.32,0
180,13.72,3,27.85,0
173,22.02,3,452.25,0
598,18.21,2,45.92,0
68,19.86,3,448.15,0
138,14.9,3,121.8,0
722,18.86,4,372.61,0
71,10.54,2,161.77,0
215,14.64,4,430.79,0
964,22.58,2,353.22,0
427,26.28,4,206.89,0
252,13.58,3,47.39,1
663,2.27,4,369.02,1
162,5.69,1,312.27,0
192,1.6,2,11.43,0
244,19.94,0,14.62,0
762,10.64,1,406.31,0
264,16.73,3,137.11,0
872,15.31,3,321.71,0
687,3.36,1,232.57,0
780,12.69,6,433.08,0
617,7.4,5,459.31,0
38,13.13,4,498.44,0
103,6.9,2,85.31,0
983,25.37,0,432.85,0
521,6.05,4,140.35,1
942,28.86,4,299.5,0
282,13.06,4,257.83,0
259,25.54,2,18.81,0
548,19.23,4,467.06,0
203,22.33,5,48.38,0
682,23.26,3,347.23,0
197,15.64,1,394.65,0
199,16.76,3,399.69,0
422,15.91,5,76.39,0
975,18.05,5,229.31,0
824,1.85,2,416.42,0
663,12.47,2,158.31,0
223,18.58,3,239.2,0
546,18.33,5,143.67,0
58,24.0,0,237.14,0
194,20.0,1,445.04,0
451,29.77,4,233.01,0
368,9.23,1,282.4,0
677,11.42,1,207.95,0
525,12.13,3,235.46,0
394,14.51,4,17.44,1
862,25.24,4,149.04,0
371,7.84,0,223.93,0
529,23.5,2,320.56,0
686,12.75,4,230.53,1
540,18.45,3,175.53,1
356,19.34,2,200.17,0
246,11.81,2,128.72,0
330,15.87,3,463.0,0
161,12.98,1,265.65,0
833,3.0,4,16.57,1
99,13.68,1,19.53,0
281,3.82,1,486.75,0
444,12.75,2,118.51,0
816,18.19,0,404.75,0
474,17.8,0,38.55,0
905,20.22,1,461.37,0
211,3.76,2,438.46,0
196,19.91,2,289.84,0
120,10.05,0,14.41,0
743,12.57,2,136.33,0
887,25.88,2,209.34,0
560,1.26,3,235.43,0
68,18.06,2,155.86,0
155,18.36,1,26.14,0
480,12.5,4,299.16,0
202,7.87,3,266.84,0
682,7.81,1,148.67,0
783,26.63,3,28.61,0
249,13.82,1,497.35,0
667,10.6,5,246.17,1
87,14.01,3,380.44,0
689,20.41,1,231.63,0
505,5.23,2,31.15,1
485,14.03,1,161.7,0
858,18.05,3,166.85,0
924,28.51,2,420.79,0
390,8.32,2,330.57,0
964,11.42,1,144.96,0
30,12.0,4,484.19,0
416,18.56,0,167.56,0
377,11.35,0,499.13,0
219,16.47,2,498.12,0
534,23.67,2,103.69,0
220,21.46,1,163.24,0
537,13.94,4,248.16,0
398,26.06,1,335.41,0
438,17.19,1,268.74,0
853,16.66,3,485.03,0
958,1.99,5,364.75,0
963,29.61,1,113.9,0
146,4.57,2,61.5,0
163,7.7,1,347.32,1
87,2.5,4,87.64,1
585,19.56,2,395.96,0
714,7.52,5,162.41,0
701,6.22,2,170.18,0
202,3.57,4,15.29,0
858,4.0,2,353.5,0
844,17.96,3,65.5,0
178,20.96,1,388.71,0
109,12.52,1,251.02,0
915,14.92,4,394.3,0
242,20.89,3,296.12,0
232,1.5,3,50.39,1
793,10.37,1,385.17,0
258,29.22,6,44.2,1
705,17.82,2,244.56,0
256,8.37,1,94.45,1
688,16.13,0,378.64,0
561,10.94,4,456.68,0
470,16.44,1,281.52,0
431,4.65,4,268.3,0
76,4.85,4,384.34,0
262,5.16,1,12.49,1
334,28.25,1,459.7,0
555,22.25,1,106.75,0
172,5.71,2,492.22,0
444,6.46,4,370.76,0
542,22.19,2,389.38,0
402,5.53,1,331.54,0
595,7.8,1,241.11,0
915,28.94,6,290.1,1
288,8.4,1,32.74,0
685,20.19,2,315.74,0
500,29.38,2,316.79,0
982,11.85,1,446.69,0
41,1.51,0,257.77,0
359,8.08,3,47.8,0
765,25.1,4,160.04,0
813,26.07,3,331.26,0
997,23.29,4,127.24,0
387,4.28,3,147.46,0
437,24.07,0,412.03,0
697,27.64,6,296.32,0
402,18.42,2,259.18,0
37,28.29,4,166.04,0
151,24.98,1,368.15,0
377,20.34,3,150.98,0
705,17.74,0,371.16,0
119,11.11,1,44.35,0
677,5.62,4,433.63,0
727,18.54,3,254.79,0
345,10.23,0,224.87,0
207,26.13,3,309.4,0
569,29.81,1,315.85,1
761,22.82,0,74.7,0
898,3.62,4,380.55,1
70,9.37,2,145.2,0
769,4.16,3,453.43,0
733,19.86,2,410.75,0
952,23.19,3,179.67,0
531,27.84,2,405.79,0
988,13.71,4,184.63,0
174,27.14,2,59.46,0
230,26.46,7,481.33,0
958,10.2,3,329.77,0
753,26.2,2,233.49,0
490,11.89,3,204.91,1
761,9.61,0,169.11,0
781,19.82,2,490.91,0
954,10.52,1,76.03,1
938,19.28,3,164.25,0
587,18.69,2,247.89,0
576,17.34,5,244.22,0
282,12.03,4,240.97,0
419,16.91,1,96.13,0
623,18.3,2,81.02,0
912,16.82,1,134.84,0
285,13.89,3,458.12,1
738,1.43,2,65.4,1
844,18.02,1,381.14,0
950,5.88,2,381.2,0
479,19.63,1,406.79,0
39,23.02,4,444.44,0
853,15.51,2,138.89,0
827,16.73,2,120.03,0
271,28.59,3,238.1,0
280,25.57,5,139.89,0
906,27.51,1,369.81,0
34,24.6,0,321.61,1
148,4.16,2,438.74,0
830,5.32,3,50.54,1
403,16.27,4,458.39,0
94,8.14,2,153.74,0
175,14.82,2,250.44,0
253,12.44,2,224.92,0
268,16.93,3,382.55,0
206,22.66,1,215.96,0
808,21.75,1,472.34,0
882,16.12,4,452.24,0
311,24.85,1,437.36,0
92,13.5,2,44.92,0
246,27.0,1,428.59,0
883,3.07,1,393.0,0
856,28.69,1,60.72,0
824,19.99,1,62.63,0
718,12.02,3,59.57,0
490,6.72,2,15.55,0
958,14.9,5,278.83,0
