customer_id,annual_revenue,transaction_count
1450,2649.96,9
1365,2642.59,7
1412,2630.3,8
1013,2602.39,8
1418,2601.67,6
1316,2601.64,9
1334,2581.91,6
1074,2579.95,6
1304,2576.71,7
1236,2564.5,7
1484,2563.26,5
1273,2562.94,6
1009,2554.67,4
1371,2553.18,4
1384,2548.4,6
1265,2546.69,5
1451,2529.79,5
1341,2528.73,7
1490,2520.25,5
1125,2508.69,8
1040,2505.29,7
1435,2501.34,9
1424,2498.92,11
1250,2487.13,6
1043,2480.47,4
1277,2468.36,11
1045,2455.55,5
1026,2449.11,6
1089,2448.26,6
1098,2447.77,6
1149,2445.09,11
1467,2432.19,6
1473,2431.12,6
1202,2428.94,6
1318,2423.79,7
1432,2417.24,9
1338,2412.82,9
1174,2411.08,7
1100,2410.1,7
1193,2408.16,4
1066,2398.99,8
1461,2386.16,8
1008,2380.29,10
1380,2378.29,11
1351,2363.43,4
1121,2358.48,7
1311,2350.48,6
1218,2348.02,6
1221,2335.15,6
1420,2334.06,7
1213,2333.86,11
1252,2333.46,6
1415,2324.31,6
1162,2321.21,8
1099,2310.91,6
1176,2304.89,6
1328,2302.71,8
1496,2299.45,5
1117,2298.27,11
1285,2267.95,7
1331,2259.69,5
1261,2256.53,7
1306,2254.74,3
1002,2252.99,5
1003,2240.14,10
1403,2223.78,6
1143,2222.89,9
1401,2219.62,8
1352,2211.42,6
1251,2201.73,10
1290,2200.56,6
1405,2199.72,8
1362,2188.92,6
1210,2184.23,8
1132,2178.84,6
1289,2175.57,6
1406,2174.16,8
1454,2174.08,11
1453,2172.12,5
1014,2164.4,8
1274,2162.25,6
1243,2159.98,7
1215,2156.44,6
1397,2154.6,8
1027,2142.29,6
1073,2123.68,7
1345,2114.19,8
1126,2113.98,8
1070,2109.66,8
1400,2106.29,8
1064,2105.36,5
1116,2100.25,7
1068,2091.93,9
1342,2089.72,5
1413,2079.43,4
1232,2076.49,8
1498,2074.57,7
1320,2058.13,10
1356,2053.51,6
1017,2053.17,9
1061,2047.87,8
1382,2044.95,9
1477,2027.52,8
1369,2025.51,7
1347,2019.63,7
1452,2018.81,7
1191,2017.26,7
1090,2017.2,9
1245,2000.92,6
1122,1990.53,5
1266,1989.94,7
1024,1983.46,5
1069,1977.45,6
1141,1975.42,8
1055,1974.33,6
1390,1969.63,7
1063,1964.85,5
1082,1960.84,8
1198,1957.37,7
1493,1957.09,8
1439,1947.07,4
1399,1945.25,10
1037,1937.63,6
1407,1929.58,7
1492,1926.1,5
1239,1925.54,5
1294,1923.18,8
1335,1918.66,5
1370,1906.35,6
1417,1901.44,9
1134,1887.57,6
1046,1880.45,7
1485,1854.36,9
1225,1838.42,5
1486,1832.07,5
1242,1830.86,8
1208,1819.98,6
1235,1808.35,5
1075,1801.33,8
1145,1798.9,7
1488,1795.33,5
1150,1787.81,6
1414,1777.82,8
1364,1777.5,11
1224,1777.04,8
1430,1776.33,6
1284,1772.96,7
1494,1763.05,7
1258,1762.34,8
1379,1759.86,8
1205,1759.17,4
1080,1757.26,3
1269,1753.86,8
1440,1751.4,8
1491,1748.54,2
1195,1745.85,5
1001,1737.89,5
1058,1734.83,4
1312,1726.23,5
1455,1717.4,6
1146,1715.23,7
1427,1714.15,5
1324,1712.64,8
1404,1710.68,6
1255,1708.29,3
1101,1694.13,8
1293,1693.31,9
1270,1689.78,6
1060,1689.09,7
1120,1681.95,9
1434,1675.57,4
1256,1669.68,6
1471,1666.76,8
1022,1660.08,7
1465,1650.88,7
1106,1648.81,5
1131,1645.71,6
1005,1634.27,9
1460,1633.09,7
1392,1629.24,6
1196,1626.99,8
1179,1622.83,5
1097,1613.68,3
1271,1609.97,5
1207,1598.39,3
1159,1597.0,6
1470,1594.81,5
1087,1593.52,7
1275,1591.29,7
1426,1588.09,6
1028,1584.84,9
1499,1583.81,6
1041,1572.57,8
1495,1570.75,5
1231,1548.53,6
1105,1544.14,5
1340,1539.68,7
1241,1531.0,6
1178,1528.36,6
1011,1522.77,5
1199,1520.04,5
1044,1519.91,3
1398,1517.62,5
1144,1515.73,5
1343,1511.54,6
1437,1510.8,8
1416,1508.42,7
1363,1501.41,6
1308,1491.14,7
1456,1489.01,6
1042,1474.1,7
1153,1455.9,6
1329,1443.43,6
1497,1423.81,6
1385,1422.5,3
1111,1421.69,8
1300,1421.67,5
1051,1420.49,6
1035,1420.19,7
1481,1417.27,4
1186,1414.49,6
1057,1405.01,5
1223,1395.68,7
1109,1390.94,7
1464,1389.74,4
1267,1378.99,6
1355,1375.92,4
1248,1375.06,7
1278,1374.68,4
1246,1370.39,5
1429,1367.84,5
1016,1357.45,6
1052,1345.83,5
1388,1343.65,4
1180,1336.46,2
1201,1335.08,5
1019,1334.96,5
1211,1330.88,6
1204,1326.32,6
1353,1323.67,8
1280,1320.95,4
1166,1320.85,6
1237,1295.77,6
1104,1291.72,7
1220,1285.07,5
1240,1276.55,4
1391,1276.05,7
1422,1273.8,8
1170,1273.63,5
1372,1267.64,5
1282,1260.23,6
1389,1242.56,3
1036,1222.75,3
1053,1221.49,6
1474,1220.02,6
1366,1219.55,7
1395,1203.88,9
1004,1196.68,6
1337,1194.02,7
1200,1183.8,2
1083,1175.36,3
1033,1163.62,2
1015,1149.79,4
1222,1148.8,6
1081,1147.61,4
1323,1147.13,6
1350,1144.46,6
1254,1137.63,4
1217,1136.27,6
1189,1127.56,4
1478,1125.72,7
1054,1121.8,5
1411,1121.22,4
1475,1120.24,7
1326,1106.37,4
1219,1097.09,5
1259,1072.58,5
1373,1070.35,3
1229,1069.02,5
1421,1052.4,5
1360,1046.93,5
1446,1046.18,5
1169,1039.82,6
1167,1039.36,6
1348,1036.13,4
1309,1032.2,4
1249,1023.25,4
1298,1019.42,4
1077,1018.55,4
1247,983.94,4
1487,974.43,3
1333,971.85,6
1096,965.04,4
1157,960.83,6
1272,955.26,5
1321,936.73,7
1085,936.05,3
1206,935.35,4
1383,935.11,3
1190,919.72,5
1076,919.44,6
1048,914.06,4
1410,913.73,3
1128,910.36,4
1447,908.37,5
1297,898.64,2
1230,893.96,4
1095,888.58,3
1438,876.5,5
1078,869.58,4
1408,867.37,6
1448,839.72,4
1368,839.55,2
1031,828.31,5
1067,826.84,5
1327,818.25,2
1010,817.38,6
1394,815.85,7
1257,808.35,4
1181,806.6,4
1472,804.71,5
1203,802.75,5
1155,791.34,3
1115,785.2,3
1442,783.65,3
1139,781.46,5
1209,773.77,4
1319,766.61,6
1263,764.77,5
1367,763.85,3
1287,760.07,4
1056,759.32,4
1315,737.64,3
1292,722.76,5
1436,720.94,5
1006,715.0,1
1151,713.96,4
1449,707.04,5
1317,704.71,2
1332,695.07,4
1479,683.37,5
1279,682.54,3
1194,652.63,4
1457,648.64,5
1296,645.36,1
1358,632.18,4
1357,613.96,5
1172,610.3,5
1480,597.08,4
1433,588.04,3
1168,574.84,2
1123,550.26,2
1165,542.52,4
1184,538.67,7
1330,532.94,3
1182,530.91,2
1253,508.67,2
1088,480.8,3
1469,477.27,2
1468,474.19,5
1129,474.12,5
1276,470.58,4
1187,467.52,2
1339,449.67,3
1032,445.8,4
1299,432.91,1
1135,421.95,2
1103,421.94,2
1283,417.32,5
1458,415.18,3
1110,412.38,3
1238,369.65,2
1386,354.42,3
1244,343.59,2
1112,342.28,2
1034,326.14,3
1171,320.6,3
1396,320.04,2
1286,221.53,4
1140,195.98,2
1071,152.42,2
1091,126.69,2
1185,125.56,2
1346,108.4,1
1018,106.43,2
1094,55.26,1
1197,42.34,1
1322,23.77,1
