customer_id,customer_type,order_count,total_spent
1695,Enterprise,5,698.38
1431,Enterprise,4,692.4
1805,SMB,8,691.01
1732,Startup,3,690.03
1032,SMB,3,689.35
1248,Startup,6,688.99
1261,Startup,6,688.64
1552,Startup,5,688.43
1035,Startup,5,687.48
1088,Startup,6,686.45
1079,SMB,6,686.01
1786,Startup,3,681.95
1495,SMB,7,681.18
1515,Enterprise,8,678.78
1257,Startup,3,676.86
1106,SMB,4,676.44
1282,SMB,5,673.52
1300,Enterprise,3,672.04
1715,SMB,5,671.9
1402,Startup,2,671.25
1763,SMB,6,670.97
1413,Startup,3,669.98
1524,Startup,6,668.86
1008,Startup,7,667.05
1381,Enterprise,8,666.0
1340,Enterprise,5,664.89
1791,SMB,4,664.24
1754,SMB,6,662.62
1148,SMB,4,661.09
1738,Startup,5,660.02
1239,Startup,7,659.58
1861,Startup,5,659.38
1522,SMB,1,657.86
1806,Startup,4,657.72
1623,SMB,4,657.43
1185,SMB,5,654.19
1803,SMB,7,653.79
1405,SMB,7,653.41
1526,SMB,8,651.03
1512,SMB,3,649.49
1100,Enterprise,5,647.23
1294,SMB,6,645.07
1175,Startup,6,644.92
1014,SMB,5,643.58
1310,SMB,4,639.67
1637,SMB,7,637.78
1810,Enterprise,3,637.76
1385,Startup,5,635.75
1749,Startup,7,633.97
1299,Startup,3,631.38
1796,Startup,5,630.72
1823,SMB,2,629.34
1641,Enterprise,2,627.59
1826,Startup,7,626.37
1053,Startup,5,624.93
1655,SMB,9,624.67
1033,Enterprise,3,624.28
1591,Enterprise,5,622.45
1771,Enterprise,3,618.44
1098,SMB,5,613.11
1878,Startup,4,609.57
1621,SMB,5,608.05
1319,SMB,4,607.89
1842,Startup,4,605.96
1210,SMB,8,605.66
1359,Startup,5,605.05
1229,Startup,4,604.89
1555,Startup,3,603.96
1246,Startup,4,601.29
1090,SMB,5,596.18
1144,SMB,4,596.16
1291,Enterprise,3,594.49
1416,SMB,7,594.34
1565,SMB,4,594.11
1371,Enterprise,6,593.84
1254,SMB,6,590.64
1369,SMB,5,588.45
1562,SMB,6,587.08
1604,Enterprise,5,586.84
1392,SMB,5,586.37
1809,SMB,2,586.13
1569,Startup,4,585.41
1055,SMB,3,585.26
1527,SMB,4,585.23
1722,SMB,4,583.25
1510,Startup,3,582.87
1240,SMB,2,578.57
1134,SMB,3,576.75
1590,SMB,4,574.81
1437,Enterprise,5,573.47
1597,Startup,3,571.61
1199,Startup,5,565.17
1767,Startup,4,563.78
1824,SMB,6,562.46
1843,SMB,4,561.59
1252,SMB,4,560.64
1119,Startup,6,559.82
1875,Enterprise,4,558.5
1462,Startup,4,557.61
1323,Startup,4,551.87
1238,Enterprise,5,551.05
1745,SMB,5,549.83
1831,SMB,6,549.77
1440,Enterprise,5,549.47
1081,Startup,3,541.71
1355,Enterprise,7,538.06
1475,SMB,2,537.37
1862,SMB,5,535.79
1312,Enterprise,3,530.45
1296,SMB,5,530.43
1640,SMB,4,529.76
1234,SMB,4,529.53
1854,Startup,3,529.39
1607,SMB,4,526.68
1618,SMB,5,524.2
1368,Startup,4,522.68
1429,SMB,6,522.56
1184,Startup,7,522.1
1350,Startup,5,521.44
1026,Startup,5,521.08
1680,Startup,4,520.08
1568,SMB,6,520.06
1644,SMB,5,519.29
1133,Enterprise,3,518.2
1775,Startup,2,517.85
1663,Startup,4,517.84
1466,SMB,5,515.93
1086,SMB,6,514.94
1005,SMB,4,514.37
1259,SMB,3,513.74
1285,SMB,3,512.91
1138,Startup,5,512.76
1145,SMB,5,512.62
1123,SMB,2,511.57
1846,SMB,4,510.32
1653,SMB,6,508.89
1006,SMB,4,501.83
1834,SMB,4,500.97
1543,SMB,3,499.67
1274,Startup,5,498.57
1578,Startup,4,496.48
1064,SMB,4,494.53
1186,Startup,3,493.52
1521,SMB,5,492.03
1709,SMB,5,490.49
1045,SMB,4,489.01
1652,SMB,3,483.99
1795,Enterprise,4,482.25
1221,Startup,5,481.83
1595,Startup,3,481.63
1334,Enterprise,4,475.51
1351,SMB,4,475.04
1444,SMB,3,474.32
1760,Startup,6,473.9
1473,Enterprise,3,473.45
1818,SMB,2,473.01
1458,SMB,3,472.9
1322,Startup,3,471.17
1071,Startup,2,469.01
1125,SMB,4,468.72
1269,SMB,5,465.49
1484,Startup,3,463.01
1491,SMB,4,462.99
1132,SMB,6,460.6
1894,SMB,3,458.76
1209,Enterprise,4,457.46
1067,Enterprise,2,457.12
1639,SMB,5,456.83
1714,SMB,6,456.55
1432,Startup,6,450.85
1586,SMB,6,449.14
1151,Startup,3,448.41
1213,Startup,7,445.37
1028,SMB,4,443.34
1679,Startup,6,443.01
1774,SMB,6,442.16
1667,SMB,5,440.67
1863,SMB,4,440.14
1171,Startup,5,437.26
1409,Startup,3,435.93
1408,Enterprise,4,434.71
1696,Startup,6,434.39
1406,Startup,8,434.35
1769,SMB,3,431.89
1097,SMB,4,430.83
1539,SMB,4,430.59
1773,Enterprise,2,429.79
1534,SMB,3,428.72
1403,SMB,4,428.58
1063,Startup,5,428.36
1146,Enterprise,4,426.58
1204,Startup,5,426.45
1845,Enterprise,6,425.24
1486,Startup,5,422.59
1548,Startup,4,417.99
1027,SMB,3,417.26
1061,SMB,4,416.74
1820,SMB,6,413.14
1126,SMB,4,412.5
1167,SMB,4,411.57
1748,SMB,4,409.42
1467,SMB,6,407.74
1777,SMB,3,406.66
1742,SMB,4,406.29
1228,SMB,5,404.68
1889,Enterprise,6,400.84
1217,SMB,4,398.56
1896,SMB,3,398.08
1869,Startup,7,397.55
1692,SMB,2,395.37
1546,SMB,4,392.34
1472,Startup,3,390.31
1070,Startup,5,388.51
1747,SMB,2,387.14
1236,Startup,4,384.32
1029,SMB,5,383.6
1157,Startup,3,381.89
1847,Enterprise,2,380.11
1187,Startup,5,375.69
1298,SMB,2,375.41
1377,Startup,5,375.26
1358,SMB,5,372.68
1078,Enterprise,2,372.58
1136,SMB,3,372.56
1583,SMB,4,371.95
1018,SMB,2,370.91
1865,SMB,3,369.59
1784,SMB,3,368.98
1076,Startup,6,368.81
1801,Startup,4,368.73
1636,SMB,2,367.67
1870,Startup,3,364.45
1750,Startup,3,361.2
1469,SMB,3,360.1
1165,Enterprise,4,357.65
1002,Startup,4,356.95
1142,SMB,4,352.51
1710,Startup,5,352.02
1117,Startup,6,351.0
1741,SMB,4,350.2
1219,Startup,2,335.86
1707,SMB,3,334.66
1243,Startup,3,334.18
1036,Startup,3,331.65
1307,SMB,4,329.93
1042,SMB,2,329.64
1179,Startup,3,328.91
1418,SMB,3,327.08
1422,Startup,6,326.07
1592,Startup,4,324.42
1811,Startup,3,323.2
1253,Startup,3,319.9
1556,SMB,4,319.9
1244,SMB,2,318.35
1442,Startup,5,315.89
1393,SMB,5,314.73
1838,SMB,4,312.37
1712,SMB,4,310.27
1176,SMB,3,305.38
1054,Startup,4,305.16
1530,Startup,5,300.82
1168,SMB,3,297.95
1719,Enterprise,3,295.13
1759,Startup,4,295.03
1617,Enterprise,3,293.57
1330,SMB,2,292.8
1197,Startup,2,291.83
1587,Enterprise,3,291.39
1103,SMB,3,290.5
1333,Enterprise,3,289.2
1634,SMB,2,287.35
1461,Enterprise,2,286.61
1339,SMB,5,286.2
1023,SMB,4,285.7
1372,Enterprise,3,283.73
1717,Startup,3,283.59
1874,SMB,3,282.13
1799,Startup,3,281.07
1052,Startup,1,280.99
1281,Startup,3,279.8
1531,Startup,2,279.2
1829,Startup,2,275.63
1292,Enterprise,2,269.96
1496,SMB,3,264.34
1411,SMB,1,258.93
1813,Enterprise,5,258.2
1782,SMB,3,255.18
1518,Startup,3,253.95
1280,Startup,3,251.29
1464,SMB,2,249.42
1415,Startup,2,248.27
1189,SMB,2,248.18
1898,Startup,2,246.43
1647,SMB,3,246.28
1373,Enterprise,2,245.44
1705,Enterprise,2,238.18
1231,Startup,4,237.66
1131,SMB,4,234.25
1181,SMB,4,232.39
1798,SMB,2,231.35
1316,Startup,2,231.02
1174,SMB,2,229.65
1577,Enterprise,3,226.16
1321,SMB,3,224.01
1037,SMB,2,223.3
1470,Startup,2,217.52
1386,Startup,4,216.31
1095,Startup,2,212.99
1389,Startup,2,210.22
1306,Startup,3,208.33
1766,SMB,2,207.7
1506,SMB,3,207.31
1882,Startup,3,206.96
1264,SMB,5,206.05
1502,SMB,3,201.27
1808,Startup,2,200.72
1241,Startup,2,193.08
1200,Startup,3,190.08
1212,Startup,3,188.83
1315,Startup,5,187.07
1600,Enterprise,1,185.69
1656,Enterprise,3,183.25
1169,Enterprise,2,177.41
1015,SMB,1,177.36
1841,Enterprise,1,174.91
1885,Startup,2,173.54
1812,Startup,3,166.6
1713,SMB,4,159.36
1225,SMB,2,159.01
1249,Startup,1,155.25
1080,Enterprise,1,154.04
1394,Startup,2,153.54
1513,Startup,1,149.27
1423,Enterprise,3,146.02
1599,SMB,3,139.4
1275,SMB,2,136.18
1677,Enterprise,3,130.8
1756,Startup,2,128.95
1348,Enterprise,3,128.41
1478,SMB,2,125.85
1765,Enterprise,2,120.26
1487,Enterprise,2,120.21
1538,SMB,4,119.23
1723,Enterprise,2,118.37
1180,Enterprise,3,117.59
1085,SMB,2,105.92
1609,SMB,2,99.0
1671,SMB,1,90.53
1121,Startup,2,87.06
1627,SMB,1,83.52
1024,SMB,1,79.81
1448,Startup,3,79.64
1839,SMB,1,78.34
1724,Startup,1,75.01
1503,SMB,3,73.38
1347,Startup,1,72.01
1158,Startup,1,60.63
1297,Startup,1,58.24
1051,Startup,1,58.14
1879,Enterprise,1,57.57
1009,Startup,1,57.33
1396,Startup,1,55.01
1094,SMB,2,37.31
1788,SMB,2,35.68
1135,Startup,1,33.6
1150,SMB,1,31.79
1684,Startup,1,29.08
1110,Enterprise,2,29.06
1410,Enterprise,1,19.14
1004,SMB,1,17.13
1697,SMB,1,10.94
1034,Startup,0,0.0
1346,Startup,0,0.0
1545,Startup,0,0.0
1706,Startup,0,0.0
1901,SMB,0,0.0
1902,Enterprise,0,0.0
1903,SMB,0,0.0
1904,SMB,0,0.0
1905,SMB,0,0.0
1906,Startup,0,0.0
1907,Startup,0,0.0
1908,SMB,0,0.0
1909,SMB,0,0.0
1910,SMB,0,0.0
1911,SMB,0,0.0
1912,SMB,0,0.0
1913,Startup,0,0.0
1914,SMB,0,0.0
1915,SMB,0,0.0
1916,SMB,0,0.0
1917,SMB,0,0.0
1918,Startup,0,0.0
1919,Startup,0,0.0
1920,Enterprise,0,0.0
1921,Startup,0,0.0
1922,SMB,0,0.0
1923,Startup,0,0.0
1924,Startup,0,0.0
1925,SMB,0,0.0
1926,Enterprise,0,0.0
1927,SMB,0,0.0
1928,SMB,0,0.0
1929,Startup,0,0.0
1930,SMB,0,0.0
1931,Enterprise,0,0.0
1932,Startup,0,0.0
1933,Startup,0,0.0
1934,SMB,0,0.0
1935,SMB,0,0.0
1936,SMB,0,0.0
1937,Enterprise,0,0.0
1938,Startup,0,0.0
1939,Enterprise,0,0.0
1940,SMB,0,0.0
1941,SMB,0,0.0
1942,SMB,0,0.0
1943,Startup,0,0.0
1944,Startup,0,0.0
1945,SMB,0,0.0
1946,Enterprise,0,0.0
1947,Enterprise,0,0.0
1948,Startup,0,0.0
1949,Startup,0,0.0
1950,SMB,0,0.0
1951,Startup,0,0.0
1952,Startup,0,0.0
1953,SMB,0,0.0
1954,Startup,0,0.0
1955,SMB,0,0.0
1956,SMB,0,0.0
1957,SMB,0,0.0
1958,Enterprise,0,0.0
1959,SMB,0,0.0
1960,Startup,0,0.0
1961,Enterprise,0,0.0
1962,Startup,0,0.0
1963,SMB,0,0.0
1964,SMB,0,0.0
1965,SMB,0,0.0
1966,SMB,0,0.0
1967,Startup,0,0.0
1968,SMB,0,0.0
1969,SMB,0,0.0
1970,SMB,0,0.0
1971,Startup,0,0.0
1972,Startup,0,0.0
1973,Startup,0,0.0
1974,SMB,0,0.0
1975,Enterprise,0,0.0
1976,SMB,0,0.0
1977,SMB,0,0.0
1978,Enterprise,0,0.0
1979,SMB,0,0.0
1980,SMB,0,0.0
1981,SMB,0,0.0
1982,Startup,0,0.0
1983,Enterprise,0,0.0
1984,Enterprise,0,0.0
1985,Startup,0,0.0
1986,SMB,0,0.0
1987,Startup,0,0.0
1988,SMB,0,0.0
1989,SMB,0,0.0
1990,Startup,0,0.0
1991,Startup,0,0.0
1992,Startup,0,0.0
1993,SMB,0,0.0
1994,SMB,0,0.0
1995,SMB,0,0.0
1996,Enterprise,0,0.0
1997,Startup,0,0.0
1998,Enterprise,0,0.0
1999,Startup,0,0.0
2000,SMB,0,0.0
