customer_id,days_as_customer,transactions_per_month,engagement,support_tickets,avg_spend,churn
300091,419,26.18,86.96,1,105.29,0
300092,595,3.45,6.61,0,285.35,0
300093,135,18.32,57.12,3,164.14,0
300094,801,29.6,102.11,3,51.34,0
300095,851,16.56,55.7,3,345.65,0
300096,506,27.8,99.66,3,356.8,0
300097,732,7.85,25.52,4,186.4,0
300098,431,23.04,81.46,5,47.59,0
300099,759,16.41,59.86,5,218.89,1
300100,585,21.89,74.57,1,226.74,0
300101,191,2.81,10.72,4,337.65,0
300102,231,5.28,21.5,2,164.55,0
300103,987,4.86,13.3,1,344.47,0
300104,299,20.93,73.32,1,437.03,0
300105,892,25.49,87.16,1,126.37,0
300106,845,22.74,76.06,2,489.67,0
300107,300,1.88,1.98,6,199.32,1
300108,485,26.15,87.95,1,140.96,0
300109,491,11.27,39.63,3,216.54,1
300110,756,12.52,38.98,1,56.25,0
300111,281,4.04,12.49,5,71.6,0
300112,731,22.38,80.79,2,213.07,0
300113,325,6.29,23.35,2,383.6,0
300114,754,17.35,59.15,5,451.15,0
300115,749,25.38,93.9,2,335.76,0
300116,778,3.59,18.23,2,61.56,0
300117,367,16.52,57.91,3,339.29,0
300118,908,7.76,19.77,4,321.36,0
300119,82,10.94,40.97,2,404.82,0
300120,821,14.75,44.73,2,414.37,0
300121,951,11.3,43.97,2,435.42,0
300122,246,19.82,72.61,1,212.92,0
300123,793,14.91,57.5,1,351.95,0
300124,217,17.94,63.58,2,141.44,0
300125,409,22.37,77.2,6,499.67,0
300126,522,17.17,58.76,2,95.91,0
300127,70,18.01,61.39,2,14.96,1
300128,186,17.37,63.74,6,82.92,1
300129,44,11.98,44.08,2,390.18,0
300130,842,10.79,38.11,7,228.92,1
300131,94,27.09,92.65,4,229.28,0
300132,886,18.62,73.05,3,477.96,0
300133,868,8.09,31.04,1,460.62,0
300134,550,15.45,49.28,4,162.49,0
300135,373,10.58,35.48,0,112.44,0
300136,158,28.08,101.07,2,425.76,0
300137,677,1.22,1.87,1,453.95,0
300138,501,7.53,27.43,0,275.38,0
300139,92,11.6,43.44,2,318.42,0
300140,168,15.15,42.85,6,135.89,0
300141,528,25.67,89.53,1,402.39,0
300142,622,3.55,12.21,1,319.74,0
300143,421,24.37,84.06,4,256.72,0
300144,704,2.61,10.05,0,39.45,0
300145,448,25.43,90.97,5,458.81,0
300146,318,2.5,9.17,1,311.57,0
300147,408,1.53,4.23,1,104.42,0
300148,802,21.21,76.14,3,307.13,0
300149,519,29.92,104.87,3,341.96,0
300150,260,27.0,93.81,2,267.63,0
300151,70,17.7,58.03,3,361.87,0
300152,57,27.6,91.93,2,294.91,0
300153,164,1.15,0.04,5,474.41,1
300154,230,29.28,103.3,3,36.31,0
300155,869,15.23,53.07,6,62.06,0
300156,809,21.96,72.43,1,95.1,0
300157,959,24.8,88.76,4,348.18,0
300158,62,21.84,80.55,3,326.34,0
300159,77,16.52,56.01,3,447.11,0
300160,532,14.82,46.65,1,369.11,0
300161,436,25.32,86.49,7,259.09,1
300162,603,6.95,26.88,2,496.0,0
300163,757,29.07,103.4,6,140.39,1
300164,834,21.62,72.89,2,418.26,0
300165,128,6.79,28.31,2,219.13,0
300166,713,22.35,82.27,9,327.88,1
300167,901,16.37,55.08,2,366.36,0
300168,755,21.51,73.05,5,320.54,0
300169,576,23.27,79.65,0,78.85,0
300170,990,3.53,10.84,1,227.05,0
300171,768,15.68,57.72,0,285.1,0
300172,642,28.03,99.38,3,426.03,0
300173,972,10.3,38.68,1,227.39,1
300174,491,18.22,65.8,3,460.19,0
300175,672,11.71,46.12,0,225.78,0
300176,798,14.17,46.43,3,278.9,0
300177,34,16.91,60.32,4,400.18,0
300178,247,16.92,52.69,3,295.7,0
300179,532,6.85,20.02,6,480.51,0
300180,796,20.85,72.76,2,333.56,0
300181,427,3.55,13.67,2,266.13,0
300182,900,5.03,17.29,2,21.56,0
300183,824,1.08,2.07,4,212.73,1
300184,422,4.38,14.18,0,156.63,0
300185,236,14.72,55.63,3,376.57,0
300186,44,18.58,63.87,1,112.06,0
300187,887,24.03,89.37,1,110.56,0
300188,583,4.09,16.71,7,102.86,1
300189,921,25.67,91.22,1,71.55,0
300190,490,22.63,75.64,1,162.39,0
300191,720,12.85,47.77,2,444.1,0
300192,604,28.06,96.71,3,389.71,0
300193,893,29.74,100.5,5,370.27,0
300194,772,6.95,25.85,3,400.7,1
300195,270,12.0,37.83,3,142.01,0
300196,593,27.87,95.25,3,444.85,0
300197,125,21.93,76.71,4,77.28,1
300198,929,2.39,15.04,3,174.81,0
300199,763,23.66,80.76,1,297.51,0
300200,514,25.01,86.16,1,60.42,0
300201,436,22.76,81.87,3,367.76,0
300202,260,24.19,80.94,1,199.75,0
300203,778,24.93,88.58,1,394.36,0
300204,684,6.41,26.04,2,251.52,0
300205,200,7.84,26.5,3,98.63,0
300206,570,19.38,70.9,4,370.03,0
300207,65,27.33,96.52,2,133.55,0
300208,554,10.17,33.4,3,250.5,0
300209,189,18.06,62.62,3,47.01,0
300210,868,20.81,71.68,0,312.75,0
300211,728,14.11,49.11,2,336.27,0
300212,272,21.7,76.41,3,195.55,0
300213,115,27.09,96.58,1,477.67,1
300214,825,19.1,68.37,4,438.34,1
300215,607,16.65,50.99,0,356.89,0
300216,711,13.72,47.74,1,359.69,0
300217,586,17.75,57.59,2,133.68,0
300218,603,11.31,38.74,4,331.84,0
300219,982,12.35,42.86,1,107.12,0
300220,675,16.42,60.41,2,80.56,0
300221,825,2.93,10.17,5,499.74,0
300222,57,7.64,27.52,7,314.96,0
300223,649,16.74,60.98,2,221.18,0
300224,585,13.51,50.98,5,151.2,0
300225,369,10.65,36.91,3,305.92,0
300226,827,22.19,77.93,5,34.3,0
300227,987,21.12,73.94,1,56.39,0
300228,360,5.84,18.8,2,26.1,0
300229,669,26.48,90.37,4,254.59,0
300230,535,15.37,46.97,2,304.3,0
300231,377,22.5,75.53,2,40.62,0
300232,502,17.62,56.34,6,363.4,0
300233,260,29.93,108.53,0,122.89,0
300234,219,22.82,80.43,7,345.75,1
300235,254,21.5,74.88,4,491.13,0
300236,414,23.58,80.37,3,348.64,0
300237,406,5.15,18.12,2,442.76,0
300238,312,6.93,21.72,6,474.62,1
300239,987,21.71,76.5,4,248.51,0
300240,662,15.33,54.38,3,354.14,0
300241,657,22.88,77.51,0,427.46,0
300242,774,3.98,11.3,2,184.74,0
300243,288,16.56,60.84,5,138.08,0
300244,388,11.99,41.79,2,473.83,0
300245,739,14.25,47.54,2,365.89,0
300246,485,18.51,63.69,2,117.64,0
300247,440,15.57,51.45,3,230.05,0
300248,678,16.66,58.09,3,400.26,0
300249,347,15.1,55.36,3,278.06,0
300250,706,12.86,44.93,3,328.48,0
300251,254,23.38,88.94,2,379.35,0
300252,848,1.35,6.0,2,314.78,1
300253,263,18.35,64.93,5,274.64,0
300254,713,17.4,58.17,1,377.31,1
300255,693,21.77,75.48,2,366.51,0
300256,856,18.37,61.96,2,318.64,0
300257,403,24.98,80.92,0,186.3,0
300258,701,28.81,103.77,0,208.85,0
300259,637,10.93,36.73,3,485.51,0
300260,501,7.59,24.29,1,65.07,0
300261,262,13.28,47.13,4,141.57,0
300262,721,9.35,34.26,4,251.28,0
300263,142,18.83,64.96,1,420.0,0
300264,859,27.44,96.05,6,90.2,0
300265,526,5.03,19.86,1,145.71,0
300266,471,3.92,12.65,3,42.24,0
300267,593,8.42,30.39,3,355.93,0
300268,297,22.06,72.22,0,126.72,0
300269,539,18.2,59.96,1,200.45,0
300270,836,3.96,15.69,1,227.41,0
300271,415,27.64,92.87,4,446.74,0
300272,416,23.91,84.4,1,211.55,0
300273,142,1.67,5.4,2,81.16,0
300274,642,19.89,68.52,0,266.91,0
300275,654,23.37,79.3,1,481.85,0
300276,981,11.86,44.23,4,307.77,0
300277,110,3.0,15.69,4,491.86,0
300278,728,3.24,12.25,3,422.14,0
300279,142,4.02,15.05,1,27.62,0
300280,31,25.37,86.76,2,332.62,0
300281,671,27.41,92.35,1,150.52,0
300282,249,4.56,15.85,3,284.21,0
300283,595,7.84,24.52,3,146.88,0
300284,884,5.8,14.98,0,180.95,0
300285,765,6.4,24.82,3,462.35,0
300286,254,25.29,91.06,2,111.26,0
300287,414,10.63,34.64,3,438.31,0
300288,432,10.03,35.84,1,24.92,0
300289,667,7.59,29.59,3,54.53,0
300290,159,18.63,65.82,0,428.79,0
300291,82,12.0,38.42,1,318.97,0
300292,713,22.58,78.34,3,376.15,0
300293,759,6.96,28.35,3,112.61,0
300294,701,23.85,84.2,3,273.17,0
300295,739,18.51,66.4,2,371.24,0
300296,445,4.31,16.12,3,317.38,0
300297,276,13.02,43.01,1,241.13,0
300298,865,26.04,89.28,4,480.29,0
300299,468,27.77,98.2,3,341.32,0
300300,232,14.51,53.22,1,454.8,0
300301,213,14.94,55.6,1,367.59,0
300302,152,27.64,94.15,2,370.38,0
300303,430,18.02,64.39,2,49.21,0
300304,796,1.95,10.4,2,186.14,0
300305,323,27.47,93.18,2,430.6,0
300306,309,8.2,33.16,2,123.98,0
300307,866,17.75,67.05,1,66.6,0
300308,913,5.8,28.17,1,169.79,0
300309,639,1.98,7.63,4,118.01,1
300310,227,10.03,35.82,0,463.39,0
300311,936,23.63,85.2,2,435.3,0
300312,540,9.05,34.07,3,254.84,1
300313,781,7.38,29.22,3,40.06,0
300314,173,7.17,27.44,5,360.14,0
300315,638,15.94,55.47,1,315.47,0
300316,230,29.29,106.18,3,485.57,0
300317,153,14.31,46.87,5,283.89,0
300318,216,17.16,60.08,2,174.83,0
300319,355,25.96,95.55,1,264.32,0
300320,493,16.52,54.06,5,489.84,0
300321,378,6.35,20.19,5,351.22,0
300322,800,9.69,35.92,1,339.27,0
300323,689,9.99,36.14,1,127.93,0
300324,793,12.52,41.2,0,374.37,0
300325,984,13.38,45.57,3,377.63,0
300326,961,24.19,81.14,1,165.47,0
300327,432,11.13,41.9,1,247.02,0
300328,375,14.58,50.26,3,154.36,0
300329,992,19.12,72.31,5,136.77,0
300330,540,11.95,42.08,3,22.69,1
300331,176,25.26,87.75,0,149.75,0
300332,177,18.04,62.18,3,281.45,0
300333,893,9.53,32.61,2,10.78,0
300334,740,21.71,76.31,1,148.78,0
300335,849,16.3,64.59,1,441.89,0
300336,518,16.5,56.73,1,300.89,0
300337,958,14.95,51.41,1,307.85,0
300338,965,15.41,54.14,0,207.65,0
300339,669,23.2,84.45,2,341.47,0
300340,580,3.99,9.69,5,103.07,1
300341,367,10.7,38.8,3,411.19,0
300342,901,3.19,8.71,4,67.18,0
300343,670,22.84,81.61,1,331.44,0
300344,808,8.9,29.66,3,177.16,0
300345,982,27.03,87.68,3,376.28,0
300346,502,16.27,58.06,2,279.38,0
300347,975,24.22,85.86,1,231.65,0
300348,180,29.39,101.12,3,93.02,0
300349,444,25.35,86.82,1,322.04,0
300350,327,26.14,87.57,2,487.64,0
300351,640,12.83,47.23,0,414.55,0
300352,292,17.0,62.15,1,39.4,0
300353,793,8.36,26.63,2,194.35,0
300354,173,6.69,21.79,1,463.54,0
300355,375,15.66,54.62,5,256.49,0
300356,653,18.26,70.71,4,334.43,0
300357,601,10.84,39.57,0,457.17,0
300358,910,17.51,58.47,2,438.16,0
300359,31,26.74,94.49,1,255.89,0
300360,926,17.14,55.88,2,224.45,0
300361,333,21.9,78.82,2,176.45,0
300362,283,24.35,90.27,4,362.32,0
300363,681,29.67,108.9,1,150.62,0
300364,482,18.49,66.93,2,132.44,0
300365,66,24.4,83.65,3,184.56,0
300366,189,28.92,97.31,0,96.84,0
300367,38,28.39,95.16,1,350.61,0
300368,262,5.09,9.4,0,311.96,0
300369,128,12.79,46.83,4,246.61,0
300370,688,10.4,36.08,2,201.26,0
300371,845,3.52,15.05,2,455.44,0
300372,237,19.36,72.06,3,24.27,0
300373,160,22.34,78.49,1,386.86,0
300374,433,25.6,90.02,6,451.94,0
300375,181,4.56,14.57,4,228.71,1
300376,83,26.42,91.42,2,279.84,0
300377,149,19.64,70.94,3,472.79,0
300378,702,21.41,74.43,5,114.02,1
300379,949,27.41,94.97,5,264.87,0
300380,657,19.12,66.86,3,242.61,0
300381,616,10.74,40.25,2,136.61,0
300382,654,24.93,85.17,1,411.11,0
300383,997,11.53,40.15,3,450.8,0
300384,449,1.99,7.71,3,393.15,0
300385,451,25.09,91.29,4,105.73,0
300386,133,11.01,37.82,2,52.51,0
300387,881,23.44,79.89,2,306.67,0
300388,283,11.52,38.87,1,37.98,0
300389,256,25.97,94.06,6,339.68,0
300390,141,7.37,31.88,3,269.91,1
300391,539,29.26,98.48,1,334.77,0
300392,502,23.61,79.36,3,299.18,0
300393,128,4.31,14.59,0,217.12,0
300394,182,17.41,61.26,3,108.43,0
300395,890,29.58,105.88,3,159.79,0
300396,943,14.66,48.64,4,267.01,0
300397,925,6.28,18.79,3,329.42,1
300398,907,15.06,53.12,2,391.95,0
300399,367,15.86,54.74,3,385.91,0
300400,735,22.51,81.56,2,486.62,0
300401,851,21.27,75.89,2,150.06,0
300402,192,12.67,46.02,2,44.84,0
300403,749,7.32,25.32,4,179.37,0
300404,986,19.71,76.04,0,374.21,0
300405,710,13.23,43.79,3,224.67,0
300406,190,4.84,18.76,3,410.72,1
300407,609,27.12,91.1,2,279.17,0
300408,830,21.05,70.44,1,465.6,0
300409,427,20.81,71.02,7,474.45,0
300410,306,24.85,91.88,8,43.96,0
300411,845,16.36,58.05,3,233.64,0
300412,945,24.64,84.46,3,308.75,0
300413,533,15.44,55.18,0,135.38,0
300414,925,2.95,10.42,1,209.47,0
300415,421,12.75,43.16,1,342.06,0
300416,164,15.43,49.8,3,121.1,0
300417,224,21.89,80.92,1,304.97,0
300418,430,4.09,14.95,3,351.75,0
300419,669,5.06,24.23,3,54.34,1
300420,62,8.65,33.08,1,253.79,0
300421,717,8.73,32.2,2,138.91,0
300422,489,22.23,76.51,2,364.95,0
300423,984,8.27,25.66,1,102.88,0
300424,912,19.36,67.11,3,447.2,0
300425,499,15.33,50.3,1,221.16,0
300426,404,17.63,63.64,1,107.02,0
300427,51,25.31,93.47,3,224.63,0
300428,779,12.73,43.76,1,210.28,0
300429,699,23.36,84.58,5,220.17,0
300430,67,13.24,44.27,2,296.93,0
300431,259,11.26,38.51,1,265.38,0
300432,394,28.8,98.36,3,83.39,0
300433,592,6.35,15.81,2,42.13,0
300434,467,3.62,12.56,3,367.41,1
300435,805,23.36,82.14,4,284.26,0
300436,312,2.98,13.62,3,185.91,0
300437,56,25.28,90.85,2,406.1,0
300438,255,13.68,50.3,2,200.15,0
300439,306,27.55,93.5,1,400.02,0
300440,827,21.92,78.11,1,159.82,0
300441,638,18.7,70.2,2,45.69,1
300442,313,28.53,100.99,3,466.99,0
300443,908,12.5,49.25,1,203.33,0
300444,989,28.67,106.4,1,398.42,0
300445,510,4.92,16.4,3,146.78,0
300446,482,15.03,50.51,0,326.72,0
300447,858,8.83,28.61,2,437.92,0
300448,845,16.66,53.75,1,30.41,0
300449,688,5.7,18.39,1,417.01,0
300450,545,25.4,92.54,5,289.95,0
300451,576,25.55,82.8,2,307.66,0
300452,221,28.7,97.34,2,266.35,0
300453,78,5.49,18.82,5,438.49,1
300454,541,19.08,64.14,2,31.28,0
300455,46,14.75,50.05,0,137.9,0
300456,201,10.99,36.92,3,439.12,0
300457,249,11.19,38.41,1,378.65,0
300458,187,12.97,43.21,6,18.65,1
300459,506,21.44,72.62,6,263.33,0
300460,75,18.35,67.03,2,269.49,0
300461,402,14.33,53.31,2,206.43,0
300462,547,3.2,7.07,2,155.72,1
300463,128,3.26,3.11,2,344.05,0
300464,921,1.07,6.93,3,111.82,0
300465,774,29.06,98.04,1,401.48,0
300466,66,1.15,4.67,1,403.49,0
300467,309,3.99,9.27,3,213.48,1
300468,378,10.12,39.32,2,148.94,0
300469,526,24.42,93.09,2,149.1,0
300470,331,28.9,101.7,1,246.32,0
300471,210,23.91,83.4,5,362.59,0
300472,636,21.03,72.63,6,185.85,0
300473,128,16.12,58.76,0,308.92,0
300474,729,3.51,14.0,2,197.42,0
300475,145,28.79,103.76,3,159.22,0
300476,220,22.99,78.59,4,22.18,1
300477,282,19.53,69.37,3,11.92,1
300478,957,23.01,78.91,3,121.33,0
300479,190,22.0,73.82,3,209.14,0
300480,285,19.48,68.06,2,427.12,0
300481,352,29.44,100.26,5,401.26,0
300482,157,27.2,98.71,2,140.91,1
300483,47,19.75,66.55,1,129.82,0
300484,822,21.1,74.95,3,121.39,1
300485,764,2.5,6.93,3,176.23,1
300486,595,20.43,72.33,2,254.12,0
300487,599,2.28,6.41,3,224.95,0
300488,352,18.06,59.44,2,116.95,0
300489,901,29.98,106.39,3,73.92,0
300490,715,17.12,59.21,1,16.16,0
300491,821,14.72,52.39,1,85.44,0
300492,655,10.07,33.97,0,355.62,0
300493,317,4.5,11.75,0,129.38,0
300494,972,22.2,80.95,2,239.61,0
300495,883,6.59,25.26,2,299.74,1
300496,692,4.34,13.5,1,444.55,0
300497,991,13.23,46.52,4,445.54,0
300498,668,24.06,87.35,1,375.41,0
300499,184,22.61,77.75,1,27.23,0
300500,519,2.59,8.16,2,291.78,0
300501,415,14.2,50.43,3,395.43,0
300502,814,16.15,55.15,4,18.47,0
300503,133,19.69,71.49,1,279.35,0
300504,958,19.85,68.99,3,430.3,0
300505,422,11.58,38.16,2,242.31,0
300506,840,17.26,62.23,4,12.01,1
300507,275,14.95,48.9,2,15.4,0
300508,205,26.66,99.37,2,214.15,0
300509,68,16.38,62.07,2,85.95,0
300510,506,13.79,49.81,1,335.58,0
300511,711,12.73,45.84,1,357.31,0
300512,788,17.6,62.75,2,97.16,0
300513,567,24.32,83.64,1,445.38,0
300514,896,16.61,59.04,5,226.53,0
300515,847,20.19,67.89,3,79.99,0
300516,950,22.4,79.9,1,384.48,0
300517,437,16.08,58.9,0,397.09,0
300518,554,13.38,45.69,2,323.25,0
300519,857,26.42,90.7,3,428.2,0
300520,535,13.11,42.24,1,371.31,0
300521,932,14.4,54.76,2,442.28,0
300522,854,29.72,102.47,6,222.61,1
300523,65,1.01,2.93,2,376.32,1
300524,714,6.38,23.23,0,499.88,0
300525,49,12.13,43.32,4,365.22,1
300526,350,28.05,100.4,6,65.95,0
300527,805,3.03,9.47,2,263.98,0
300528,541,1.28,1.05,1,297.8,0
300529,429,2.53,4.91,2,95.36,0
300530,683,3.57,10.75,1,481.82,0
300531,912,2.09,4.46,1,96.03,0
300532,500,14.91,51.29,1,97.0,0
300533,172,17.84,66.37,4,458.43,0
300534,121,8.88,29.94,4,237.95,0
300535,383,12.55,42.79,3,40.96,1
300536,863,3.66,12.76,3,303.11,1
300537,829,10.75,36.42,3,304.89,0
300538,756,16.15,56.33,2,41.61,0
300539,988,22.24,79.45,6,486.54,0
300540,883,1.1,6.49,3,276.57,0
300541,80,14.55,53.94,2,284.3,0
300542,694,9.61,39.82,1,264.86,0
300543,727,25.73,91.77,2,309.26,0
300544,604,21.75,82.83,3,139.51,0
300545,219,18.08,60.97,5,150.75,1
300546,154,9.04,37.92,2,260.56,0
300547,179,27.4,94.76,1,405.28,0
300548,343,2.31,7.23,0,34.43,0
300549,599,4.17,14.25,1,305.67,0
300550,371,12.36,42.59,0,405.32,0
300551,334,4.61,16.39,3,86.89,0
300552,721,28.74,98.84,4,17.36,0
300553,711,24.14,86.99,2,163.23,0
300554,867,8.51,28.13,1,298.19,0
300555,812,18.07,65.21,5,77.76,0
300556,83,29.49,107.79,0,218.8,0
300557,473,26.64,92.17,4,280.64,0
300558,642,18.42,66.86,2,303.45,0
300559,293,27.21,96.91,5,144.46,0
300560,82,29.69,110.66,2,206.01,0
300561,601,22.56,77.44,0,391.39,0
300562,649,2.88,12.48,5,471.2,0
300563,34,12.65,39.38,2,432.32,0
300564,132,25.3,87.05,1,286.5,0
300565,225,7.69,27.96,7,211.04,1
300566,803,25.09,91.99,1,173.15,0
300567,906,4.49,12.04,3,71.23,0
300568,913,2.36,10.62,4,62.21,0
300569,379,12.14,42.3,4,347.3,0
300570,76,2.07,2.66,0,137.3,0
300571,896,28.76,101.21,1,134.78,0
300572,852,24.96,92.49,3,499.12,0
300573,965,24.22,81.42,1,102.08,0
300574,849,19.26,67.09,0,82.55,0
300575,685,7.27,22.5,1,58.36,0
300576,298,16.03,54.7,6,294.1,0
300577,399,18.32,68.42,7,317.65,1
300578,665,16.23,55.98,1,188.96,0
300579,135,8.55,34.12,1,272.35,0
300580,699,15.94,59.12,2,396.32,0
300581,688,15.24,52.27,2,410.87,0
300582,686,29.89,103.12,2,479.38,0
300583,149,27.03,91.9,2,413.89,0
300584,860,14.44,47.74,0,286.77,0
300585,816,19.07,67.79,7,98.03,1
300586,633,22.69,79.35,2,58.88,0
300587,87,2.01,5.17,4,36.71,0
300588,980,26.95,89.69,1,336.6,0
300589,375,25.94,91.12,2,405.69,0
300590,770,14.27,48.52,2,259.26,0
300591,503,12.34,42.62,4,36.81,0
300592,146,8.92,32.12,5,272.38,0
300593,859,14.82,44.38,4,468.52,0
300594,820,2.29,3.4,7,302.83,1
300595,156,25.71,96.89,5,406.62,0
300596,422,2.03,5.58,6,402.07,0
300597,937,10.54,29.35,3,466.74,0
300598,670,28.02,93.71,3,387.41,0
300599,87,22.32,85.58,2,376.37,0
300600,663,9.16,29.95,4,124.71,0
300601,542,8.33,32.62,2,39.36,0
300602,780,1.15,4.38,3,263.62,1
300603,831,21.18,72.66,2,70.97,0
300604,125,2.41,10.78,1,481.48,0
300605,667,16.45,50.41,3,152.06,0
300606,147,28.9,96.83,1,427.94,0
300607,589,4.17,13.13,4,199.94,0
300608,630,26.94,90.26,2,168.37,0
300609,517,29.75,102.39,3,468.23,0
300610,266,2.78,12.31,2,188.03,0
300611,914,26.6,93.51,1,201.24,0
300612,926,15.97,59.87,3,61.98,0
300613,301,27.29,96.1,3,338.52,0
300614,218,17.57,64.47,2,151.53,0
300615,733,20.2,70.51,6,296.95,0
300616,476,16.77,56.92,1,299.76,0
300617,610,26.07,95.69,2,362.41,0
300618,819,22.28,75.86,0,375.17,0
300619,890,16.12,57.44,3,262.08,0
300620,276,26.18,93.93,2,172.19,0
300621,992,8.11,30.92,1,420.35,0
300622,105,5.56,15.97,1,161.83,0
300623,183,5.65,22.94,1,258.68,0
300624,685,10.69,34.47,4,206.61,0
300625,464,7.92,30.16,5,428.99,1
300626,115,27.97,99.51,1,221.64,0
300627,726,4.07,16.7,0,199.19,0
300628,314,21.27,70.83,2,348.01,0
300629,249,6.49,24.47,4,305.2,0
300630,98,26.57,96.24,3,62.55,0
300631,76,28.88,101.65,3,259.0,0
300632,123,14.5,48.29,2,370.38,0
300633,779,26.49,95.48,1,496.12,0
300634,987,1.15,4.36,2,318.28,0
300635,482,24.78,81.7,1,191.44,0
300636,233,7.63,24.02,2,120.81,0
300637,941,27.35,94.15,3,437.69,1
300638,247,1.03,8.13,1,409.14,0
300639,503,17.13,63.94,6,124.62,1
300640,461,22.94,84.28,2,108.31,0
300641,370,8.5,30.45,1,360.42,0
300642,580,6.6,25.84,2,164.33,0
300643,641,3.44,8.61,2,160.14,0
300644,318,10.47,36.65,3,84.62,0
300645,283,17.24,61.68,1,139.35,0
300646,763,4.36,12.03,2,219.48,0
300647,386,11.92,42.36,2,369.09,0
300648,52,1.26,9.48,2,174.79,0
300649,791,24.74,88.27,2,171.02,0
300650,551,4.73,19.29,2,149.61,0
300651,787,9.22,24.9,4,244.36,1
300652,866,1.53,10.04,0,98.51,0
300653,129,13.53,46.81,3,247.96,0
300654,831,25.36,86.47,4,355.05,0
300655,209,12.37,42.78,0,24.6,0
300656,252,6.21,17.26,1,14.79,0
300657,935,22.86,83.14,2,46.81,0
300658,791,23.88,82.56,1,272.47,0
300659,688,6.04,18.92,4,428.68,0
300660,471,23.35,81.24,2,12.39,0
300661,637,28.47,103.0,5,468.96,0
300662,798,5.82,20.78,3,62.08,0
