date,revenue,orders
2025-06-22,8637.09,190
2025-06-23,9289.2,180
2025-06-24,9217.23,187
2025-06-25,10067.7,195
2025-06-26,8871.15,187
2025-06-27,14015.47,223
2025-06-28,11471.15,201
2025-06-29,13006.08,222
2025-06-30,9889.05,162
2025-07-01,7689.54,139
2025-07-02,7393.66,158
2025-07-03,9748.43,174
2025-07-04,11730.74,206
2025-07-05,13169.9,219
2025-07-06,9808.76,182
2025-07-07,9014.38,189
2025-07-08,7878.16,155
2025-07-09,6900.81,132
2025-07-10,8528.03,147
2025-07-11,13581.3,240
2025-07-12,12650.81,242
2025-07-13,7403.37,114
2025-07-14,9556.47,167
2025-07-15,9899.4,199
2025-07-16,8020.37,170
2025-07-17,9601.47,199
2025-07-18,12614.79,252
2025-07-19,10845.98,224
2025-07-20,9981.74,204
2025-07-21,10310.96,203
2025-07-22,11119.08,229
2025-07-23,11099.93,176
2025-07-24,7477.45,160
2025-07-25,11351.5,204
2025-07-26,13563.76,254
2025-07-27,10388.81,160
2025-07-28,10415.43,220
2025-07-29,15446.68,291
2025-07-30,10548.64,163
2025-07-31,11420.38,183
2025-08-01,14420.01,235
2025-08-02,13999.06,279
2025-08-03,9318.3,192
2025-08-04,10954.39,187
2025-08-05,8681.42,136
2025-08-06,9510.16,169
2025-08-07,9162.06,162
2025-08-08,13342.59,263
2025-08-09,16724.74,276
2025-08-10,7163.39,146
2025-08-11,11018.4,214
2025-08-12,7594.66,141
2025-08-13,9330.56,169
2025-08-14,11696.61,234
2025-08-15,13546.97,286
2025-08-16,11866.9,207
2025-08-17,9064.41,178
2025-08-18,11181.48,197
2025-08-19,9091.26,189
2025-08-20,10536.23,192
2025-08-21,10304.62,185
2025-08-22,12703.92,275
2025-08-23,16930.2,327
2025-08-24,11261.32,236
2025-08-25,7297.45,157
2025-08-26,10639.57,164
2025-08-27,9391.94,182
2025-08-28,11687.99,190
2025-08-29,12723.31,253
2025-08-30,13772.95,234
2025-08-31,11241.0,186
2025-09-01,11806.87,207
2025-09-02,8732.52,160
2025-09-03,10055.94,188
2025-09-04,9870.0,189
2025-09-05,13162.86,206
2025-09-06,16824.01,273
2025-09-07,11264.07,175
2025-09-08,8789.99,185
2025-09-09,12082.84,202
2025-09-10,13914.0,218
2025-09-11,12304.19,253
2025-09-12,12094.57,261
2025-09-13,13680.24,228
2025-09-14,12730.04,225
2025-09-15,9792.89,158
2025-09-16,11544.85,241
2025-09-17,12065.8,198
2025-09-18,9538.18,194
2025-09-19,14515.11,300
2025-09-20,9775.46,202
2025-09-21,9466.17,154
2025-09-22,10648.62,182
2025-09-23,9180.52,165
2025-09-24,13525.54,259
2025-09-25,8956.44,143
2025-09-26,14175.1,268
2025-09-27,15064.24,245
2025-09-28,13337.73,247
2025-09-29,9046.76,172
2025-09-30,12970.02,239
2025-10-01,11265.35,220
2025-10-02,9802.46,163
2025-10-03,15759.09,286
2025-10-04,15397.49,310
2025-10-05,10448.58,165
2025-10-06,11478.33,217
2025-10-07,10820.38,193
2025-10-08,11593.35,183
2025-10-09,12441.0,216
2025-10-10,17675.73,373
2025-10-11,13472.95,211
2025-10-12,14721.53,255
2025-10-13,8618.57,166
2025-10-14,11343.75,237
2025-10-15,12478.63,204
2025-10-16,12042.37,209
2025-10-17,14593.42,262
2025-10-18,15248.26,242
2025-10-19,10955.55,180
2025-10-20,10835.73,225
2025-10-21,13018.91,254
2025-10-22,12304.75,246
2025-10-23,10754.59,179
2025-10-24,17107.64,374
2025-10-25,16252.16,288
2025-10-26,13087.43,217
2025-10-27,12837.3,205
2025-10-28,10674.09,205
2025-10-29,11102.04,180
2025-10-30,13087.97,277
2025-10-31,16904.57,272
2025-11-01,15990.63,336
2025-11-02,12217.2,230
2025-11-03,13982.43,229
2025-11-04,11203.3,233
2025-11-05,12936.03,260
2025-11-06,11836.82,199
2025-11-07,15893.26,267
2025-11-08,17900.91,309
2025-11-09,13452.41,228
2025-11-10,13459.28,240
2025-11-11,14221.95,284
2025-11-12,12319.97,237
2025-11-13,13336.12,274
2025-11-14,15985.15,253
2025-11-15,16969.77,299
2025-11-16,12192.15,229
2025-11-17,12557.58,231
2025-11-18,13329.55,208
2025-11-19,11234.21,233
2025-11-20,15624.84,275
2025-11-21,15172.29,275
2025-11-22,14893.0,260
2025-11-23,14297.61,315
2025-11-24,13772.66,220
2025-11-25,13546.07,212
2025-11-26,13577.13,241
2025-11-27,12640.97,214
2025-11-28,15566.21,245
2025-11-29,17058.76,288
2025-11-30,11717.77,243
2025-12-01,14220.92,251
2025-12-02,12562.38,219
2025-12-03,11569.45,216
2025-12-04,12350.34,206
2025-12-05,17762.25,278
2025-12-06,16330.24,257
2025-12-07,11673.26,216
2025-12-08,13296.85,281
2025-12-09,13323.49,205
2025-12-10,12220.35,197
2025-12-11,12298.94,258
2025-12-12,17721.7,279
2025-12-13,15234.47,244
2025-12-14,10968.47,198
2025-12-15,12026.73,211
2025-12-16,12808.95,241
2025-12-17,13620.21,295
2025-12-18,15391.61,297
2025-12-19,18890.89,309
2025-12-20,17397.45,385
2025-12-21,13224.22,255
2025-12-22,11773.68,222
2025-12-23,13274.43,238
2025-12-24,12893.94,203
2025-12-25,13835.73,266
2025-12-26,16594.32,319
2025-12-27,18647.15,312
2025-12-28,15724.93,290
2025-12-29,13287.41,268
2025-12-30,14077.84,260
2025-12-31,14535.22,303
