customer_id,customer_name,customer_segment,signup_date
126,Customer_126,B2C,2024-05-05
127,Customer_127,SMB,2024-05-06
128,Customer_128,SMB,2024-05-07
129,Customer_129,B2B,2024-05-08
130,Customer_130,B2C,2024-05-09
131,Customer_131,B2C,2024-05-10
132,Customer_132,B2B,2024-05-11
133,Customer_133,B2B,2024-05-12
134,Customer_134,B2C,2024-05-13
135,Customer_135,SMB,2024-05-14
136,Customer_136,B2C,2024-05-15
137,Customer_137,B2C,2024-05-16
138,Customer_138,B2C,2024-05-17
139,Customer_139,B2C,2024-05-18
140,Customer_140,SMB,2024-05-19
141,Customer_141,SMB,2024-05-20
142,Customer_142,B2B,2024-05-21
143,Customer_143,B2C,2024-05-22
144,Customer_144,B2C,2024-05-23
145,Customer_145,B2B,2024-05-24
146,Customer_146,B2B,2024-05-25
147,Customer_147,B2C,2024-05-26
148,Customer_148,B2C,2024-05-27
149,Customer_149,B2B,2024-05-28
150,Customer_150,B2B,2024-05-29
151,Customer_151,SMB,2024-05-30
152,Customer_152,B2B,2024-05-31
153,Customer_153,B2B,2024-06-01
154,Customer_154,B2C,2024-06-02
155,Customer_155,SMB,2024-06-03
156,Customer_156,B2B,2024-06-04
157,Customer_157,B2C,2024-06-05
158,Customer_158,B2C,2024-06-06
159,Customer_159,B2B,2024-06-07
160,Customer_160,B2C,2024-06-08
161,Customer_161,B2C,2024-06-09
162,Customer_162,B2C,2024-06-10
163,Customer_163,B2C,2024-06-11
164,Customer_164,B2C,2024-06-12
165,Customer_165,B2B,2024-06-13
166,Customer_166,SMB,2024-06-14
167,Customer_167,B2C,2024-06-15
168,Customer_168,B2B,2024-06-16
169,Customer_169,B2B,2024-06-17
170,Customer_170,B2C,2024-06-18
171,Customer_171,B2C,2024-06-19
172,Customer_172,B2B,2024-06-20
173,Customer_173,B2C,2024-06-21
174,Customer_174,B2B,2024-06-22
175,Customer_175,B2C,2024-06-23
176,Customer_176,B2B,2024-06-24
177,Customer_177,B2C,2024-06-25
178,Customer_178,B2C,2024-06-26
179,Customer_179,SMB,2024-06-27
180,Customer_180,B2B,2024-06-28
181,Customer_181,B2C,2024-06-29
182,Customer_182,B2B,2024-06-30
183,Customer_183,SMB,2024-07-01
184,Customer_184,SMB,2024-07-02
185,Customer_185,B2B,2024-07-03
186,Customer_186,B2C,2024-07-04
187,Customer_187,SMB,2024-07-05
188,Customer_188,B2C,2024-07-06
189,Customer_189,B2C,2024-07-07
190,Customer_190,B2B,2024-07-08
191,Customer_191,B2B,2024-07-09
192,Customer_192,SMB,2024-07-10
193,Customer_193,SMB,2024-07-11
194,Customer_194,B2C,2024-07-12
195,Customer_195,B2C,2024-07-13
196,Customer_196,B2C,2024-07-14
197,Customer_197,B2C,2024-07-15
198,Customer_198,SMB,2024-07-16
199,Customer_199,SMB,2024-07-17
200,Customer_200,B2C,2024-07-18
201,Customer_201,B2C,2024-07-19
202,Customer_202,B2B,2024-07-20
203,Customer_203,B2B,2024-07-21
204,Customer_204,SMB,2024-07-22
205,Customer_205,B2C,2024-07-23
206,Customer_206,B2B,2024-07-24
207,Customer_207,B2B,2024-07-25
208,Customer_208,B2C,2024-07-26
209,Customer_209,B2B,2024-07-27
210,Customer_210,B2B,2024-07-28
211,Customer_211,B2C,2024-07-29
212,Customer_212,B2C,2024-07-30
213,Customer_213,B2C,2024-07-31
214,Customer_214,B2B,2024-08-01
215,Customer_215,B2C,2024-08-02
216,Customer_216,B2B,2024-08-03
217,Customer_217,B2C,2024-08-04
218,Customer_218,B2C,2024-08-05
219,Customer_219,B2C,2024-08-06
220,Customer_220,SMB,2024-08-07
221,Customer_221,B2C,2024-08-08
222,Customer_222,B2C,2024-08-09
223,Customer_223,B2B,2024-08-10
224,Customer_224,B2C,2024-08-11
225,Customer_225,B2B,2024-08-12
226,Customer_226,B2B,2024-08-13
227,Customer_227,SMB,2024-08-14
228,Customer_228,B2C,2024-08-15
229,Customer_229,SMB,2024-08-16
230,Customer_230,B2C,2024-08-17
231,Customer_231,B2C,2024-08-18
232,Customer_232,B2C,2024-08-19
233,Customer_233,B2C,2024-08-20
234,Customer_234,B2C,2024-08-21
235,Customer_235,B2B,2024-08-22
236,Customer_236,B2C,2024-08-23
237,Customer_237,B2B,2024-08-24
238,Customer_238,B2B,2024-08-25
239,Customer_239,B2C,2024-08-26
240,Customer_240,B2B,2024-08-27
241,Customer_241,SMB,2024-08-28
242,Customer_242,SMB,2024-08-29
243,Customer_243,SMB,2024-08-30
244,Customer_244,B2C,2024-08-31
245,Customer_245,B2B,2024-09-01
246,Customer_246,SMB,2024-09-02
247,Customer_247,B2C,2024-09-03
248,Customer_248,SMB,2024-09-04
249,Customer_249,SMB,2024-09-05
250,Customer_250,SMB,2024-09-06
251,Customer_251,B2B,2024-09-07
252,Customer_252,B2C,2024-09-08
253,Customer_253,SMB,2024-09-09
254,Customer_254,B2C,2024-09-10
255,Customer_255,B2B,2024-09-11
256,Customer_256,B2C,2024-09-12
257,Customer_257,SMB,2024-09-13
258,Customer_258,B2C,2024-09-14
259,Customer_259,B2C,2024-09-15
260,Customer_260,B2B,2024-09-16
261,Customer_261,B2C,2024-09-17
262,Customer_262,SMB,2024-09-18
263,Customer_263,B2B,2024-09-19
264,Customer_264,B2C,2024-09-20
265,Customer_265,SMB,2024-09-21
266,Customer_266,B2C,2024-09-22
267,Customer_267,B2C,2024-09-23
268,Customer_268,B2C,2024-09-24
269,Customer_269,B2C,2024-09-25
270,Customer_270,B2B,2024-09-26
271,Customer_271,SMB,2024-09-27
272,Customer_272,SMB,2024-09-28
273,Customer_273,SMB,2024-09-29
274,Customer_274,SMB,2024-09-30
275,Customer_275,B2C,2024-10-01
276,Customer_276,B2C,2024-10-02
277,Customer_277,B2C,2024-10-03
278,Customer_278,B2C,2024-10-04
279,Customer_279,B2C,2024-10-05
280,Customer_280,B2C,2024-10-06
281,Customer_281,SMB,2024-10-07
282,Customer_282,B2C,2024-10-08
283,Customer_283,B2C,2024-10-09
284,Customer_284,B2B,2024-10-10
285,Customer_285,B2C,2024-10-11
286,Customer_286,B2B,2024-10-12
287,Customer_287,B2C,2024-10-13
288,Customer_288,B2C,2024-10-14
289,Customer_289,B2B,2024-10-15
290,Customer_290,B2C,2024-10-16
291,Customer_291,B2B,2024-10-17
292,Customer_292,B2B,2024-10-18
293,Customer_293,SMB,2024-10-19
294,Customer_294,B2C,2024-10-20
295,Customer_295,B2B,2024-10-21
296,Customer_296,B2C,2024-10-22
297,Customer_297,B2C,2024-10-23
298,Customer_298,B2B,2024-10-24
299,Customer_299,B2C,2024-10-25
300,Customer_300,B2B,2024-10-26
301,Customer_301,B2B,2024-10-27
302,Customer_302,B2C,2024-10-28
303,Customer_303,B2C,2024-10-29
304,Customer_304,B2C,2024-10-30
305,Customer_305,B2C,2024-10-31
306,Customer_306,SMB,2024-11-01
307,Customer_307,B2C,2024-11-02
308,Customer_308,B2C,2024-11-03
309,Customer_309,B2C,2024-11-04
310,Customer_310,B2B,2024-11-05
311,Customer_311,B2C,2024-11-06
312,Customer_312,B2B,2024-11-07
313,Customer_313,B2B,2024-11-08
314,Customer_314,SMB,2024-11-09
315,Customer_315,SMB,2024-11-10
316,Customer_316,B2C,2024-11-11
317,Customer_317,B2C,2024-11-12
318,Customer_318,B2B,2024-11-13
319,Customer_319,B2B,2024-11-14
320,Customer_320,B2B,2024-11-15
321,Customer_321,B2C,2024-11-16
322,Customer_322,B2C,2024-11-17
323,Customer_323,B2C,2024-11-18
324,Customer_324,B2B,2024-11-19
325,Customer_325,SMB,2024-11-20
326,Customer_326,B2C,2024-11-21
327,Customer_327,B2C,2024-11-22
328,Customer_328,B2C,2024-11-23
329,Customer_329,B2C,2024-11-24
330,Customer_330,B2B,2024-11-25
331,Customer_331,B2C,2024-11-26
332,Customer_332,B2C,2024-11-27
333,Customer_333,B2B,2024-11-28
334,Customer_334,B2B,2024-11-29
335,Customer_335,B2B,2024-11-30
336,Customer_336,B2B,2024-12-01
337,Customer_337,SMB,2024-12-02
338,Customer_338,B2C,2024-12-03
339,Customer_339,B2C,2024-12-04
340,Customer_340,B2B,2024-12-05
341,Customer_341,B2C,2024-12-06
342,Customer_342,B2C,2024-12-07
343,Customer_343,B2B,2024-12-08
344,Customer_344,B2C,2024-12-09
345,Customer_345,B2C,2024-12-10
346,Customer_346,B2C,2024-12-11
347,Customer_347,B2C,2024-12-12
348,Customer_348,B2B,2024-12-13
349,Customer_349,B2C,2024-12-14
350,Customer_350,B2C,2024-12-15
351,Customer_351,B2C,2024-12-16
352,Customer_352,SMB,2024-12-17
353,Customer_353,B2C,2024-12-18
354,Customer_354,B2B,2024-12-19
355,Customer_355,B2B,2024-12-20
356,Customer_356,B2C,2024-12-21
357,Customer_357,B2B,2024-12-22
358,Customer_358,B2C,2024-12-23
359,Customer_359,SMB,2024-12-24
360,Customer_360,B2C,2024-12-25
361,Customer_361,B2C,2024-12-26
362,Customer_362,B2C,2024-12-27
363,Customer_363,B2C,2024-12-28
364,Customer_364,B2C,2024-12-29
365,Customer_365,SMB,2024-12-30
366,Customer_366,B2C,2024-12-31
367,Customer_367,SMB,2025-01-01
368,Customer_368,SMB,2025-01-02
369,Customer_369,B2B,2025-01-03
370,Customer_370,B2B,2025-01-04
371,Customer_371,B2B,2025-01-05
372,Customer_372,B2B,2025-01-06
373,Customer_373,B2B,2025-01-07
374,Customer_374,B2C,2025-01-08
375,Customer_375,B2B,2025-01-09
376,Customer_376,B2C,2025-01-10
377,Customer_377,SMB,2025-01-11
378,Customer_378,B2B,2025-01-12
379,Customer_379,SMB,2025-01-13
380,Customer_380,B2B,2025-01-14
381,Customer_381,B2B,2025-01-15
382,Customer_382,B2C,2025-01-16
383,Customer_383,B2C,2025-01-17
384,Customer_384,SMB,2025-01-18
385,Customer_385,B2C,2025-01-19
386,Customer_386,SMB,2025-01-20
387,Customer_387,B2B,2025-01-21
388,Customer_388,B2B,2025-01-22
389,Customer_389,B2C,2025-01-23
390,Customer_390,SMB,2025-01-24
391,Customer_391,SMB,2025-01-25
392,Customer_392,B2C,2025-01-26
393,Customer_393,B2C,2025-01-27
394,Customer_394,B2C,2025-01-28
395,Customer_395,B2C,2025-01-29
396,Customer_396,SMB,2025-01-30
397,Customer_397,SMB,2025-01-31
398,Customer_398,B2C,2025-02-01
399,Customer_399,B2C,2025-02-02
400,Customer_400,B2C,2025-02-03
401,Customer_401,B2B,2025-02-04
402,Customer_402,SMB,2025-02-05
403,Customer_403,B2C,2025-02-06
404,Customer_404,SMB,2025-02-07
405,Customer_405,B2C,2025-02-08
406,Customer_406,SMB,2025-02-09
407,Customer_407,B2C,2025-02-10
408,Customer_408,B2B,2025-02-11
409,Customer_409,SMB,2025-02-12
410,Customer_410,B2B,2025-02-13
411,Customer_411,B2C,2025-02-14
412,Customer_412,SMB,2025-02-15
413,Customer_413,SMB,2025-02-16
414,Customer_414,B2C,2025-02-17
415,Customer_415,B2C,2025-02-18
416,Customer_416,B2C,2025-02-19
417,Customer_417,B2B,2025-02-20
418,Customer_418,B2C,2025-02-21
419,Customer_419,B2C,2025-02-22
420,Customer_420,B2C,2025-02-23
421,Customer_421,B2C,2025-02-24
422,Customer_422,B2C,2025-02-25
423,Customer_423,B2B,2025-02-26
424,Customer_424,B2C,2025-02-27
425,Customer_425,B2B,2025-02-28
426,Customer_426,B2C,2025-03-01
427,Customer_427,B2C,2025-03-02
428,Customer_428,SMB,2025-03-03
429,Customer_429,B2C,2025-03-04
430,Customer_430,B2B,2025-03-05
431,Customer_431,B2B,2025-03-06
432,Customer_432,B2C,2025-03-07
433,Customer_433,B2C,2025-03-08
434,Customer_434,B2B,2025-03-09
435,Customer_435,B2B,2025-03-10
436,Customer_436,B2C,2025-03-11
437,Customer_437,B2B,2025-03-12
438,Customer_438,SMB,2025-03-13
439,Customer_439,B2C,2025-03-14
440,Customer_440,B2B,2025-03-15
441,Customer_441,B2B,2025-03-16
442,Customer_442,SMB,2025-03-17
443,Customer_443,B2C,2025-03-18
444,Customer_444,B2C,2025-03-19
445,Customer_445,SMB,2025-03-20
446,Customer_446,SMB,2025-03-21
447,Customer_447,SMB,2025-03-22
448,Customer_448,B2C,2025-03-23
449,Customer_449,B2C,2025-03-24
450,Customer_450,B2B,2025-03-25
451,Customer_451,B2C,2025-03-26
452,Customer_452,B2C,2025-03-27
453,Customer_453,B2C,2025-03-28
454,Customer_454,SMB,2025-03-29
455,Customer_455,B2B,2025-03-30
456,Customer_456,B2C,2025-03-31
457,Customer_457,B2B,2025-04-01
458,Customer_458,B2C,2025-04-02
459,Customer_459,B2B,2025-04-03
460,Customer_460,B2B,2025-04-04
461,Customer_461,B2B,2025-04-05
462,Customer_462,B2C,2025-04-06
463,Customer_463,B2C,2025-04-07
464,Customer_464,B2C,2025-04-08
465,Customer_465,SMB,2025-04-09
466,Customer_466,B2C,2025-04-10
467,Customer_467,B2B,2025-04-11
468,Customer_468,SMB,2025-04-12
469,Customer_469,B2B,2025-04-13
470,Customer_470,SMB,2025-04-14
471,Customer_471,B2B,2025-04-15
472,Customer_472,SMB,2025-04-16
473,Customer_473,B2B,2025-04-17
474,Customer_474,SMB,2025-04-18
475,Customer_475,B2C,2025-04-19
476,Customer_476,SMB,2025-04-20
477,Customer_477,B2B,2025-04-21
478,Customer_478,B2C,2025-04-22
479,Customer_479,SMB,2025-04-23
480,Customer_480,B2C,2025-04-24
481,Customer_481,B2C,2025-04-25
482,Customer_482,B2C,2025-04-26
483,Customer_483,B2C,2025-04-27
484,Customer_484,B2C,2025-04-28
485,Customer_485,B2C,2025-04-29
486,Customer_486,SMB,2025-04-30
487,Customer_487,B2B,2025-05-01
488,Customer_488,B2B,2025-05-02
489,Customer_489,SMB,2025-05-03
490,Customer_490,SMB,2025-05-04
491,Customer_491,B2C,2025-05-05
492,Customer_492,B2C,2025-05-06
493,Customer_493,B2B,2025-05-07
494,Customer_494,B2B,2025-05-08
495,Customer_495,B2C,2025-05-09
496,Customer_496,B2C,2025-05-10
497,Customer_497,B2C,2025-05-11
498,Customer_498,B2B,2025-05-12
499,Customer_499,SMB,2025-05-13
500,Customer_500,SMB,2025-05-14
501,Customer_501,B2C,2025-05-15
502,Customer_502,B2C,2025-05-16
503,Customer_503,B2C,2025-05-17
504,Customer_504,SMB,2025-05-18
505,Customer_505,B2C,2025-05-19
506,Customer_506,B2B,2025-05-20
507,Customer_507,SMB,2025-05-21
508,Customer_508,SMB,2025-05-22
509,Customer_509,SMB,2025-05-23
510,Customer_510,B2C,2025-05-24
511,Customer_511,B2C,2025-05-25
512,Customer_512,B2C,2025-05-26
513,Customer_513,SMB,2025-05-27
514,Customer_514,SMB,2025-05-28
515,Customer_515,B2B,2025-05-29
516,Customer_516,B2B,2025-05-30
517,Customer_517,B2C,2025-05-31
518,Customer_518,SMB,2025-06-01
519,Customer_519,SMB,2025-06-02
520,Customer_520,B2B,2025-06-03
521,Customer_521,B2C,2025-06-04
522,Customer_522,B2C,2025-06-05
523,Customer_523,SMB,2025-06-06
524,Customer_524,SMB,2025-06-07
525,Customer_525,SMB,2025-06-08
526,Customer_526,B2C,2025-06-09
527,Customer_527,B2C,2025-06-10
528,Customer_528,B2B,2025-06-11
529,Customer_529,B2B,2025-06-12
530,Customer_530,SMB,2025-06-13
531,Customer_531,SMB,2025-06-14
532,Customer_532,SMB,2025-06-15
533,Customer_533,SMB,2025-06-16
534,Customer_534,B2C,2025-06-17
535,Customer_535,B2C,2025-06-18
536,Customer_536,SMB,2025-06-19
537,Customer_537,SMB,2025-06-20
538,Customer_538,B2B,2025-06-21
539,Customer_539,B2C,2025-06-22
540,Customer_540,B2B,2025-06-23
541,Customer_541,SMB,2025-06-24
542,Customer_542,B2C,2025-06-25
543,Customer_543,B2B,2025-06-26
544,Customer_544,B2C,2025-06-27
545,Customer_545,B2C,2025-06-28
546,Customer_546,B2C,2025-06-29
547,Customer_547,B2B,2025-06-30
548,Customer_548,B2C,2025-07-01
549,Customer_549,B2C,2025-07-02
550,Customer_550,B2C,2025-07-03
551,Customer_551,B2C,2025-07-04
552,Customer_552,SMB,2025-07-05
553,Customer_553,B2C,2025-07-06
554,Customer_554,B2C,2025-07-07
555,Customer_555,SMB,2025-07-08
556,Customer_556,B2C,2025-07-09
557,Customer_557,B2B,2025-07-10
558,Customer_558,B2B,2025-07-11
559,Customer_559,B2C,2025-07-12
560,Customer_560,B2C,2025-07-13
561,Customer_561,B2C,2025-07-14
562,Customer_562,B2B,2025-07-15
563,Customer_563,B2B,2025-07-16
564,Customer_564,B2B,2025-07-17
565,Customer_565,B2C,2025-07-18
566,Customer_566,B2C,2025-07-19
567,Customer_567,B2C,2025-07-20
568,Customer_568,B2C,2025-07-21
569,Customer_569,SMB,2025-07-22
570,Customer_570,B2C,2025-07-23
571,Customer_571,B2C,2025-07-24
572,Customer_572,B2C,2025-07-25
573,Customer_573,B2C,2025-07-26
574,Customer_574,B2C,2025-07-27
575,Customer_575,SMB,2025-07-28
576,Customer_576,SMB,2025-07-29
577,Customer_577,B2B,2025-07-30
578,Customer_578,SMB,2025-07-31
579,Customer_579,B2C,2025-08-01
580,Customer_580,B2B,2025-08-02
581,Customer_581,B2C,2025-08-03
582,Customer_582,SMB,2025-08-04
583,Customer_583,B2C,2025-08-05
584,Customer_584,B2C,2025-08-06
585,Customer_585,B2C,2025-08-07
586,Customer_586,B2B,2025-08-08
587,Customer_587,B2B,2025-08-09
588,Customer_588,B2B,2025-08-10
589,Customer_589,B2B,2025-08-11
590,Customer_590,B2B,2025-08-12
591,Customer_591,B2B,2025-08-13
592,Customer_592,B2C,2025-08-14
593,Customer_593,B2B,2025-08-15
594,Customer_594,B2C,2025-08-16
595,Customer_595,SMB,2025-08-17
596,Customer_596,B2C,2025-08-18
597,Customer_597,B2C,2025-08-19
598,Customer_598,B2B,2025-08-20
599,Customer_599,B2B,2025-08-21
600,Customer_600,B2B,2025-08-22
601,Customer_601,B2B,2025-08-23
602,Customer_602,B2B,2025-08-24
603,Customer_603,B2B,2025-08-25
604,Customer_604,B2B,2025-08-26
605,Customer_605,B2B,2025-08-27
606,Customer_606,B2C,2025-08-28
607,Customer_607,B2B,2025-08-29
608,Customer_608,B2C,2025-08-30
609,Customer_609,B2C,2025-08-31
610,Customer_610,B2C,2025-09-01
611,Customer_611,B2B,2025-09-02
612,Customer_612,B2C,2025-09-03
613,Customer_613,B2C,2025-09-04
614,Customer_614,B2B,2025-09-05
615,Customer_615,SMB,2025-09-06
616,Customer_616,SMB,2025-09-07
617,Customer_617,B2B,2025-09-08
618,Customer_618,B2B,2025-09-09
619,Customer_619,SMB,2025-09-10
620,Customer_620,B2C,2025-09-11
621,Customer_621,B2B,2025-09-12
622,Customer_622,B2B,2025-09-13
623,Customer_623,B2C,2025-09-14
624,Customer_624,B2C,2025-09-15
625,Customer_625,B2C,2025-09-16
626,Customer_626,B2C,2025-09-17
627,Customer_627,B2C,2025-09-18
628,Customer_628,B2C,2025-09-19
629,Customer_629,B2B,2025-09-20
630,Customer_630,B2B,2025-09-21
631,Customer_631,B2C,2025-09-22
632,Customer_632,SMB,2025-09-23
633,Customer_633,B2C,2025-09-24
634,Customer_634,B2C,2025-09-25
635,Customer_635,B2B,2025-09-26
636,Customer_636,B2C,2025-09-27
637,Customer_637,B2C,2025-09-28
638,Customer_638,B2B,2025-09-29
639,Customer_639,B2B,2025-09-30
640,Customer_640,B2C,2025-10-01
641,Customer_641,B2B,2025-10-02
642,Customer_642,B2C,2025-10-03
643,Customer_643,B2B,2025-10-04
644,Customer_644,B2C,2025-10-05
645,Customer_645,B2B,2025-10-06
646,Customer_646,SMB,2025-10-07
647,Customer_647,B2C,2025-10-08
648,Customer_648,B2C,2025-10-09
649,Customer_649,B2C,2025-10-10
650,Customer_650,B2C,2025-10-11
651,Customer_651,B2B,2025-10-12
652,Customer_652,B2C,2025-10-13
653,Customer_653,B2C,2025-10-14
654,Customer_654,B2C,2025-10-15
655,Customer_655,B2C,2025-10-16
656,Customer_656,B2B,2025-10-17
657,Customer_657,B2B,2025-10-18
658,Customer_658,B2C,2025-10-19
659,Customer_659,B2C,2025-10-20
660,Customer_660,B2C,2025-10-21
661,Customer_661,B2C,2025-10-22
662,Customer_662,SMB,2025-10-23
663,Customer_663,B2C,2025-10-24
664,Customer_664,B2B,2025-10-25
665,Customer_665,B2B,2025-10-26
666,Customer_666,B2B,2025-10-27
667,Customer_667,B2B,2025-10-28
668,Customer_668,B2B,2025-10-29
669,Customer_669,B2B,2025-10-30
670,Customer_670,B2B,2025-10-31
671,Customer_671,B2B,2025-11-01
672,Customer_672,SMB,2025-11-02
673,Customer_673,B2B,2025-11-03
674,Customer_674,B2C,2025-11-04
675,Customer_675,B2C,2025-11-05
676,Customer_676,SMB,2025-11-06
677,Customer_677,B2B,2025-11-07
678,Customer_678,B2C,2025-11-08
679,Customer_679,SMB,2025-11-09
680,Customer_680,SMB,2025-11-10
681,Customer_681,SMB,2025-11-11
682,Customer_682,B2B,2025-11-12
683,Customer_683,B2B,2025-11-13
684,Customer_684,B2C,2025-11-14
685,Customer_685,SMB,2025-11-15
686,Customer_686,B2C,2025-11-16
687,Customer_687,B2C,2025-11-17
688,Customer_688,B2B,2025-11-18
689,Customer_689,B2C,2025-11-19
690,Customer_690,B2B,2025-11-20
691,Customer_691,B2C,2025-11-21
692,Customer_692,B2C,2025-11-22
693,Customer_693,B2C,2025-11-23
694,Customer_694,B2B,2025-11-24
695,Customer_695,B2B,2025-11-25
696,Customer_696,B2C,2025-11-26
697,Customer_697,B2B,2025-11-27
698,Customer_698,B2C,2025-11-28
699,Customer_699,B2B,2025-11-29
700,Customer_700,B2C,2025-11-30
701,Customer_701,B2C,2025-12-01
702,Customer_702,B2B,2025-12-02
703,Customer_703,B2C,2025-12-03
704,Customer_704,B2B,2025-12-04
705,Customer_705,B2B,2025-12-05
706,Customer_706,SMB,2025-12-06
707,Customer_707,B2C,2025-12-07
708,Customer_708,SMB,2025-12-08
709,Customer_709,B2B,2025-12-09
710,Customer_710,B2C,2025-12-10
711,Customer_711,B2C,2025-12-11
712,Customer_712,B2C,2025-12-12
713,Customer_713,B2C,2025-12-13
714,Customer_714,B2C,2025-12-14
715,Customer_715,B2C,2025-12-15
716,Customer_716,SMB,2025-12-16
717,Customer_717,SMB,2025-12-17
718,Customer_718,SMB,2025-12-18
719,Customer_719,B2B,2025-12-19
720,Customer_720,B2C,2025-12-20
721,Customer_721,SMB,2025-12-21
722,Customer_722,B2B,2025-12-22
723,Customer_723,B2B,2025-12-23
724,Customer_724,B2C,2025-12-24
725,Customer_725,B2C,2025-12-25
726,Customer_726,SMB,2025-12-26
727,Customer_727,B2B,2025-12-27
728,Customer_728,B2C,2025-12-28
729,Customer_729,B2B,2025-12-29
730,Customer_730,B2B,2025-12-30
731,Customer_731,B2B,2025-12-31
732,Customer_732,SMB,2026-01-01
733,Customer_733,B2C,2026-01-02
734,Customer_734,B2C,2026-01-03
