customer_id,days_as_customer,total_transactions,total_spent,days_since_last_purchase
1154,309,99,3840.05,49
1155,913,42,3495.9,79
1156,227,34,2428.6,241
1157,1011,30,5121.76,349
1158,781,119,8261.6,154
1159,173,13,2833.05,274
1160,638,13,9426.75,96
1161,216,18,8739.7,214
1162,493,32,1659.55,294
1163,689,96,7873.45,209
1164,793,99,5767.14,343
1165,984,39,5687.42,88
1166,432,46,3940.88,306
1167,176,116,5036.47,264
1168,893,29,4001.93,325
1169,518,62,5420.34,320
1170,958,113,6298.1,157
1171,580,93,6759.32,156
1172,367,62,5348.19,139
1173,901,117,7228.15,121
1174,670,108,1455.72,65
1175,502,57,2159.23,107
1176,180,16,8196.41,147
1177,292,56,3259.15,137
1178,173,108,277.79,162
1179,375,111,1580.22,100
1180,653,10,2274.96,338
1181,1046,30,9575.36,307
1182,910,25,5751.76,141
1183,31,103,9330.67,83
1184,926,84,5772.88,177
1185,283,5,4819.58,198
1186,482,65,3171.59,112
1187,1090,94,6083.39,56
1188,1044,49,1435.02,179
1189,38,3,8987.7,186
1190,845,45,8301.86,218
1191,237,14,3209.44,316
1192,433,30,9530.34,217
1193,181,114,8260.75,120
1194,83,68,6679.75,175
1195,657,18,1261.53,23
1196,616,62,4808.43,213
1197,133,37,5085.77,235
1198,283,25,2363.89,13
1199,539,48,845.66,101
1200,128,65,7778.4,24
1201,182,53,1264.25,364
1202,943,110,5963.19,11
1203,907,79,9367.67,273
1204,367,73,8767.25,281
1205,851,15,2813.64,94
1206,986,49,8521.91,201
1207,190,88,53.31,21
1208,830,68,225.99,340
1209,427,12,6045.4,211
1210,845,59,3679.74,140
1211,430,37,3895.29,293
1212,669,61,5666.19,298
1213,1086,101,1958.24,101
1214,717,43,2156.97,304
1215,489,70,4871.79,359
1216,984,39,7554.82,28
1217,499,56,6214.0,41
1218,1075,63,3008.68,355
1219,779,46,4331.85,303
1220,67,88,1748.11,146
1221,259,11,792.57,256
1222,592,62,7837.83,227
1223,467,77,2690.6,236
1224,56,98,1818.78,361
1225,255,25,6931.6,13
1226,827,71,6199.61,210
1227,313,52,6350.24,229
1228,908,4,2327.5,100
1229,989,59,2364.82,31
1230,482,72,2246.99,16
1231,1049,20,1778.84,137
1232,845,93,6574.45,329
1233,688,63,8487.76,166
1234,576,54,7256.96,310
1235,46,117,7931.33,100
1236,187,115,4077.74,109
1237,506,109,6558.05,343
1238,547,110,3574.65,173
1239,128,74,5278.77,237
1240,1090,107,4842.27,162
1241,309,98,1810.03,216
1242,526,57,3901.43,264
1243,331,90,9640.03,263
1244,210,41,2523.37,292
1245,636,113,1381.35,274
1246,729,3,4214.88,3
1247,1022,6,7913.86,28
1248,220,5,5842.37,326
1249,282,5,6825.7,149
1250,1010,54,1937.46,28
1251,957,47,6208.53,310
1252,157,87,3268.83,65
1253,47,49,8351.32,356
1254,595,9,6311.52,21
1255,599,99,2028.62,252
1256,715,20,692.94,235
1257,655,113,474.2,227
1258,883,61,3745.52,13
1259,991,106,2695.22,313
1260,184,35,6478.6,49
1261,519,50,5018.37,118
1262,814,82,2696.89,54
1263,275,62,1534.92,138
1264,1092,17,1315.64,53
1265,788,88,8653.37,44
1266,567,3,2472.61,303
1267,950,32,6534.52,53
1268,437,99,8116.32,74
1269,554,102,6160.11,46
1270,857,13,8602.67,13
1271,932,111,3954.32,165
1272,65,89,9564.41,102
1273,714,73,1374.79,280
1274,49,68,1066.39,258
1275,350,14,6603.99,337
1276,541,101,9431.17,356
1277,429,98,8098.39,138
1278,683,11,810.35,163
1279,1001,105,2829.71,111
1280,500,56,9306.67,102
1281,863,67,2567.93,17
1282,756,92,7822.65,268
1283,883,29,8260.07,182
1284,80,9,4979.75,24
1285,604,67,3894.17,29
1286,179,25,4528.74,171
1287,343,98,2308.3,228
1288,599,76,8899.44,188
1289,334,42,4533.67,346
1290,711,9,8830.47,230
1291,867,79,1101.65,321
1292,1032,40,9883.34,340
1293,473,25,4460.57,119
1294,642,5,525.92,156
1295,1022,11,428.32,272
1296,293,59,7474.76,175
1297,1033,98,6607.4,104
1298,34,88,8031.2,92
1299,803,79,1098.41,186
1300,906,38,403.93,283
1301,1021,72,5110.36,181
1302,913,5,3906.57,170
1303,76,48,4646.37,187
1304,896,90,9916.3,175
1305,852,18,9708.96,222
1306,965,70,9426.04,233
1307,685,37,7849.23,162
1308,298,60,3580.67,134
1309,399,48,4150.7,224
1310,665,77,5518.68,153
1311,686,28,8313.82,33
1312,149,69,733.69,55
1313,860,77,4271.75,7
1314,770,81,872.05,244
1315,146,114,5170.84,313
1316,820,40,8994.06,126
1317,1042,45,7835.72,12
1318,663,96,2317.03,16
1319,542,62,9761.11,208
1320,831,93,6690.14,43
1321,589,115,153.76,135
1322,517,58,2591.36,228
1323,926,67,2644.1,111
1324,733,56,739.08,307
1325,610,40,9600.27,160
1326,819,98,4808.64,331
1327,890,40,8963.36,264
1328,276,91,3256.04,225
1329,183,77,1296.07,217
1330,1026,109,4769.64,45
1331,726,33,1183.87,214
1332,1038,6,4885.85,59
1333,123,88,9206.96,132
1334,987,19,5231.64,104
1335,1041,80,6184.17,195
1336,482,40,1608.55,157
1337,941,92,485.17,98
1338,247,97,1152.54,226
1339,503,59,6005.39,205
1340,461,59,995.37,79
1341,370,48,3791.13,124
1342,580,41,5523.41,218
1343,386,13,3917.1,4
1344,52,107,1678.65,90
1345,551,45,2774.22,104
1346,831,89,9286.76,119
1347,791,53,6776.02,133
1348,471,42,4985.68,312
1349,798,100,176.51,96
1350,1045,63,9924.53,331
1351,545,27,6730.98,143
1352,1069,38,3203.38,288
1353,821,60,8798.72,28
1354,365,7,2621.39,278
1355,287,5,5462.96,233
1356,526,107,6378.9,17
1357,925,45,2249.58,59
1358,189,58,9785.05,90
1359,881,115,7494.51,199
1360,719,31,5600.24,362
1361,409,23,1846.92,26
1362,986,42,585.89,25
1363,720,10,3234.6,301
1364,314,32,7544.21,339
1365,426,107,2729.85,267
1366,41,53,5418.58,181
1367,528,30,7293.07,360
1368,783,39,1124.04,68
1369,64,31,6868.72,351
1370,756,82,964.12,321
1371,878,100,9653.04,49
1372,119,2,4909.52,175
1373,805,78,1549.23,52
1374,634,77,3456.72,102
1375,999,93,4163.49,216
1376,1051,12,7593.94,188
1377,447,39,7447.07,57
1378,144,66,6138.81,47
1379,646,96,1104.01,159
1380,855,13,1558.12,174
1381,442,46,982.88,242
1382,758,27,5792.87,282
1383,1050,113,8777.53,241
1384,790,105,4366.32,5
1385,705,17,1650.44,84
1386,486,104,5602.52,308
1387,949,95,8126.93,361
1388,221,98,7430.04,248
1389,768,60,8820.44,54
1390,1007,64,2815.13,161
1391,1038,88,1979.84,226
1392,125,109,8804.17,15
1393,692,35,6592.73,224
1394,66,112,3143.74,61
1395,308,70,7436.36,122
1396,246,83,8160.43,277
1397,896,30,6169.03,46
1398,902,71,6894.45,294
1399,91,74,3783.84,62
1400,625,105,5410.02,86
1401,758,96,5265.38,210
1402,426,98,8488.08,78
1403,728,63,8407.64,202
1404,1072,28,8335.17,302
1405,206,60,159.76,223
1406,425,79,7507.98,222
1407,474,94,7598.83,3
1408,105,37,6799.87,6
1409,294,93,7574.83,93
1410,484,22,8427.61,8
1411,747,68,4729.67,235
1412,764,20,5045.4,108
1413,880,96,1290.9,161
1414,173,100,3884.49,209
1415,914,114,6451.48,240
1416,425,68,7814.98,331
1417,1078,91,2211.23,333
1418,977,64,1421.34,50
1419,920,17,6647.27,11
1420,598,12,68.7,351
1421,1092,22,1824.81,156
1422,138,17,339.26,70
1423,964,10,1710.51,169
1424,427,118,1854.13,272
1425,663,65,3907.35,68
1426,762,22,4053.15,355
1427,264,90,8748.91,252
1428,687,82,5125.59,48
1429,780,50,7247.88,184
1430,617,14,1086.17,320
1431,1062,64,2293.12,187
1432,983,47,7044.29,90
1433,521,29,575.4,332
1434,942,76,4891.65,139
1435,199,36,6013.72,357
1436,975,99,6041.35,89
1437,824,52,278.18,274
1438,663,76,3254.97,19
1439,58,7,6383.08,311
1440,368,29,1532.55,358
1441,529,11,6969.39,154
1442,540,33,7471.96,260
1443,246,6,9820.59,108
1444,474,111,2137.93,285
1445,905,79,8260.05,59
1446,196,32,5226.95,125
1447,120,51,3765.95,354
1448,743,75,1267.65,273
1449,68,58,7368.28,107
1450,202,87,2396.78,299
1451,682,26,3745.65,245
1452,783,98,672.3,336
1453,505,46,8023.6,247
1454,485,98,7677.56,8
1455,858,29,7349.48,141
1456,924,4,3029.46,362
1457,1054,81,1776.13,8
1458,416,99,6393.65,352
1459,377,13,4986.86,94
1460,219,105,1823.61,321
1461,534,39,6874.82,39
1462,853,15,9911.71,81
1463,958,119,7484.83,187
1464,963,29,7412.86,84
1465,163,29,9505.61,88
1466,87,75,2069.22,242
1467,714,116,5677.22,342
1468,701,32,9797.48,93
1469,202,2,1694.68,86
1470,844,47,7017.51,44
1471,109,78,5878.81,137
1472,915,84,5885.47,74
1473,232,22,6991.82,36
1474,793,75,9299.69,101
1475,76,27,7836.69,156
1476,685,67,608.55,255
1477,500,81,8534.64,171
1478,1000,108,2294.14,216
1479,1065,56,3800.3,170
1480,765,92,4644.24,252
1481,813,93,4835.01,360
1482,997,21,4380.04,322
1483,387,47,9376.67,55
1484,1001,80,7074.89,91
1485,697,101,6330.15,278
1486,402,59,545.93,101
1487,1061,84,9043.94,155
1488,705,6,9098.43,349
1489,119,19,7813.12,364
1490,727,57,119.94,141
1491,569,69,619.94,173
1492,761,3,2290.98,10
1493,898,1,1356.93,228
1494,70,58,4018.42,265
1495,769,38,9230.1,248
1496,531,15,4747.0,247
1497,988,34,183.36,155
1498,958,61,2863.32,34
1499,490,35,493.72,129
1500,761,64,411.06,160
1501,781,113,2793.41,89
1502,954,25,2792.34,93
1503,938,24,7881.91,327
1504,419,12,9749.6,241
1505,912,18,3743.51,323
1506,285,15,4317.42,117
1507,738,108,8455.65,94
1508,479,80,2717.98,163
1509,39,27,1606.0,99
1510,853,72,8538.24,113
1511,827,60,512.68,359
1512,906,46,6216.01,91
1513,1058,89,5641.83,346
1514,1045,17,3491.91,206
1515,403,93,3186.14,17
1516,175,53,7729.98,274
1517,253,8,909.92,173
1518,206,79,2406.0,116
1519,882,27,7337.86,349
1520,92,46,5505.79,181
1521,856,50,1323.48,91
1522,824,116,8827.25,82
1523,718,71,3964.81,324
1524,134,3,8287.29,114
1525,540,93,7887.74,257
1526,414,64,6263.03,58
1527,434,44,4970.09,154
1528,852,53,9796.53,116
1529,547,24,1492.4,343
1530,505,60,7265.3,266
1531,738,3,1952.35,315
1532,800,20,3415.72,203
1533,1076,46,3121.55,41
1534,1026,15,9473.01,105
1535,706,25,9675.19,193
1536,743,94,1871.0,278
1537,112,78,269.25,354
1538,486,71,7214.08,237
1539,30,17,4209.0,221
1540,80,108,933.96,68
1541,714,84,6853.35,197
1542,746,100,5473.8,256
1543,478,9,9806.14,139
1544,910,38,2312.72,312
1545,517,48,4069.58,149
1546,63,60,5448.33,99
1547,124,63,7927.41,76
1548,183,86,5510.94,282
1549,279,118,6148.36,109
1550,703,117,2300.16,188
1551,467,117,8476.84,199
1552,147,2,4314.87,303
1553,800,88,1452.55,327
1554,297,72,6658.67,154
1555,265,11,2200.1,40
1556,418,64,1020.75,133
1557,1019,77,8626.77,132
1558,792,81,4628.61,279
1559,430,72,7505.37,362
1560,653,21,2941.35,84
1561,796,18,7880.35,242
1562,948,94,1163.76,116
1563,882,64,3591.94,109
1564,607,82,9781.72,221
1565,104,110,7950.2,41
1566,464,111,4997.7,147
1567,132,95,3430.79,112
1568,793,38,8727.75,103
1569,767,32,5471.24,46
1570,835,11,7596.33,324
1571,127,45,7553.37,271
1572,827,89,228.56,195
1573,888,33,1306.23,280
1574,464,102,6613.31,283
1575,476,41,1658.12,40
1576,278,8,2592.16,189
1577,195,11,9469.05,164
1578,1013,86,5623.81,24
1579,1049,51,7519.76,24
1580,571,88,5601.91,4
1581,788,41,5547.51,323
1582,110,17,986.81,290
1583,162,76,3469.45,181
1584,826,46,2860.19,248
1585,929,32,3937.75,116
1586,167,79,7993.52,279
1587,213,80,3750.73,69
1588,814,54,4544.38,351
1589,1013,86,4003.94,254
1590,98,92,979.41,181
1591,575,20,4438.67,318
1592,82,33,1996.31,169
1593,234,74,1907.9,313
1594,155,40,985.66,249
1595,72,32,3598.88,188
1596,140,114,7586.94,54
1597,790,97,2800.59,326
1598,877,2,3157.87,357
1599,124,97,6444.61,313
1600,929,33,1998.62,138
1601,389,105,8974.73,168
1602,929,77,5225.9,103
1603,310,30,4503.65,85
1604,696,33,5600.31,317
1605,122,77,1702.04,212
1606,701,116,6154.06,3
1607,90,26,3662.85,179
1608,663,22,8977.0,342
1609,1058,103,1730.1,303
1610,633,66,5095.16,332
1611,711,38,6001.22,38
1612,563,103,382.17,239
1613,867,90,3668.75,169
1614,674,46,7339.72,343
1615,262,114,8212.76,314
1616,553,15,3165.96,306
1617,375,98,7996.0,30
1618,575,106,9679.17,190
1619,823,119,8575.9,357
1620,278,44,1220.56,25
1621,76,49,7410.32,112
1622,243,104,3230.68,206
1623,268,75,9884.74,185
1624,379,61,4879.32,47
1625,136,67,1268.22,228
1626,860,6,7265.6,39
1627,77,9,3263.96,16
1628,366,6,9970.93,22
1629,1079,73,9798.84,213
1630,833,103,6578.53,310
1631,37,95,1341.77,149
1632,654,32,6884.27,241
1633,748,41,975.65,272
1634,332,114,342.17,59
1635,668,76,8238.44,287
1636,85,8,2137.04,202
1637,755,72,3821.32,32
1638,555,50,9735.9,162
1639,503,92,3401.56,255
1640,57,62,3000.07,254
1641,107,84,9186.17,9
1642,394,62,1151.95,139
1643,695,111,7607.84,10
1644,555,7,9881.25,214
1645,728,75,9017.9,273
1646,912,84,6534.1,324
1647,1060,80,3174.9,48
1648,1056,4,2580.5,111
1649,948,6,8201.59,153
1650,779,58,8804.23,123
1651,392,22,5278.08,357
1652,835,26,2481.18,102
1653,768,3,1173.78,241
1654,1068,41,917.44,321
1655,514,60,7204.82,191
1656,57,106,4230.18,217
1657,743,14,9058.33,51
1658,1092,75,7409.73,292
1659,115,82,1953.04,81
1660,155,118,6157.09,88
1661,841,12,4383.28,194
1662,566,87,5793.63,104
1663,174,12,7393.79,271
1664,54,13,8071.65,96
1665,96,25,8445.19,198
1666,262,45,2577.05,1
1667,138,115,359.6,167
1668,140,19,7405.98,126
1669,257,55,1108.12,313
1670,140,110,3183.45,81
1671,63,100,87.98,251
1672,652,45,6832.61,169
1673,777,8,1712.96,73
1674,624,93,6570.06,141
1675,454,119,9917.84,70
1676,642,53,773.08,262
1677,721,55,816.93,340
1678,344,32,3436.78,308
1679,906,51,8670.55,245
1680,691,44,2194.52,3
1681,306,82,3635.76,337
1682,653,70,731.63,63
1683,545,18,7643.4,49
1684,872,83,4112.65,76
1685,379,22,7604.52,175
1686,852,37,9040.9,109
1687,788,96,2365.99,183
1688,928,56,8083.59,192
1689,272,105,637.98,65
1690,572,59,8993.53,337
1691,1093,3,6525.15,271
1692,258,28,8748.56,100
1693,577,74,51.87,32
1694,949,115,1732.36,352
1695,35,35,3928.11,128
1696,497,61,3826.05,339
1697,104,93,2305.97,43
1698,33,54,3847.04,78
1699,675,63,1332.04,314
1700,147,79,4156.97,289
1701,910,97,8033.43,270
1702,533,7,4816.75,162
1703,976,76,229.1,189
1704,603,49,4243.37,247
1705,223,94,320.39,216
1706,876,85,9664.12,315
1707,744,31,1318.17,339
1708,1079,58,7091.5,168
1709,202,61,9729.12,339
1710,355,24,8269.09,193
1711,865,20,7008.19,283
1712,753,37,8402.64,336
1713,254,4,9818.9,13
1714,561,92,6232.38,240
1715,142,108,5613.89,320
1716,169,20,6300.97,147
1717,588,60,5350.13,204
1718,30,24,6369.14,80
1719,119,50,4525.93,43
1720,683,49,2223.51,89
1721,349,51,1246.46,148
1722,168,96,729.99,95
1723,874,105,2669.99,151
1724,288,36,508.93,2
1725,931,117,5693.35,22
1726,719,98,2874.09,313
1727,39,100,8254.12,328
1728,290,66,788.7,7
1729,201,79,2302.2,206
1730,927,34,7315.95,114
1731,42,36,6008.14,272
1732,350,6,691.69,83
1733,358,39,8778.53,179
1734,814,42,8778.75,210
1735,806,115,3337.56,328
1736,940,115,3437.04,124
1737,347,58,9890.83,113
1738,265,118,6280.45,12
1739,363,12,5336.6,126
1740,405,3,8389.61,53
1741,617,109,2888.64,331
1742,542,18,4320.37,283
1743,947,40,2714.38,140
1744,902,21,7902.15,97
1745,299,15,5754.83,5
1746,827,97,6605.31,57
1747,754,99,2560.46,334
1748,34,26,2241.24,69
1749,880,8,4909.33,118
1750,107,100,7388.78,59
1751,603,112,5276.14,33
1752,161,94,374.82,318
1753,630,87,8692.09,50
1754,118,42,693.63,19
1755,431,44,9560.45,214
1756,325,14,300.16,197
1757,645,78,6959.78,47
1758,829,2,867.96,167
1759,451,119,9111.23,289
1760,1076,37,4671.11,141
1761,604,69,1418.36,84
1762,172,38,3441.12,182
1763,1022,109,1690.01,79
1764,694,41,1747.29,215
1765,174,62,9483.68,14
1766,1036,118,4480.2,215
1767,532,60,7898.58,128
1768,850,111,6414.08,310
1769,133,14,6780.44,248
1770,1092,103,1360.35,29
1771,227,89,2380.14,280
1772,608,84,7878.17,338
1773,420,2,9709.12,319
1774,583,103,2663.62,202
1775,1068,70,2752.11,361
1776,507,17,4755.33,57
1777,952,89,9839.21,218
1778,449,28,2726.14,62
1779,186,66,4099.37,157
1780,579,35,8920.23,202
1781,1050,101,79.06,17
1782,1026,5,445.67,322
1783,980,65,6060.51,6
1784,318,40,9078.43,58
1785,225,76,2426.62,325
1786,627,56,4722.94,318
1787,546,36,4532.13,169
1788,894,45,4756.06,82
1789,835,23,6244.07,219
1790,844,47,4723.95,177
1791,257,31,4502.31,204
1792,245,11,4769.17,71
1793,977,10,5929.13,266
1794,44,67,5393.22,98
1795,76,118,8548.65,345
1796,353,14,542.49,291
1797,873,80,8341.5,208
1798,159,74,8447.05,2
1799,124,93,2884.83,124
1800,656,10,4655.38,280
1801,784,76,4413.46,74
1802,823,94,2224.17,166
1803,98,105,3998.13,22
1804,40,1,491.66,154
1805,901,5,2814.33,295
1806,579,20,8175.99,219
1807,741,8,2881.39,157
1808,52,43,8191.16,230
1809,844,76,5339.41,20
1810,375,1,8804.63,41
1811,331,57,5769.06,148
1812,392,64,345.2,108
1813,425,118,6770.43,84
1814,247,84,496.29,322
1815,170,28,4533.44,309
1816,987,107,9297.8,290
1817,1014,37,1693.78,323
1818,1022,47,3929.23,134
1819,857,101,7312.11,207
1820,712,76,8828.47,283
1821,1033,37,6725.88,266
1822,385,49,2618.82,73
1823,1037,113,6762.35,352
1824,917,44,3002.44,48
1825,156,56,7198.37,326
1826,1038,28,9542.63,233
1827,633,111,7227.86,100
1828,1043,79,8635.66,59
1829,80,6,70.93,258
1830,1082,108,7189.84,65
1831,808,61,8304.4,83
1832,843,20,453.56,154
1833,449,114,8722.4,266
1834,1012,78,2604.11,309
1835,854,2,6669.66,79
1836,1054,73,8013.53,315
1837,596,37,6643.51,150
1838,400,20,968.23,48
1839,965,26,5983.4,248
1840,690,29,5518.36,278
1841,998,1,9008.2,356
1842,231,119,4072.19,98
1843,342,35,3244.76,25
1844,146,70,7511.02,284
1845,966,101,4156.12,301
1846,604,117,6478.66,68
1847,273,59,6482.18,7
1848,566,69,8885.99,305
1849,104,33,6006.99,137
1850,415,113,5046.43,164
1851,504,51,1431.77,83
1852,447,78,1201.59,138
1853,376,12,1585.5,73
1854,669,106,1759.89,237
1855,968,20,6396.88,46
1856,984,53,7422.76,106
1857,905,114,5323.42,288
1858,792,88,8298.73,262
1859,693,43,9913.07,176
1860,54,98,8209.13,166
1861,739,89,6964.08,145
1862,206,50,5348.3,330
1863,314,29,4516.09,283
1864,92,57,889.7,54
1865,1032,39,4023.72,178
1866,691,95,9105.84,244
1867,695,56,8089.83,341
1868,185,111,2199.71,127
1869,996,43,4692.75,271
1870,878,50,8176.4,132
1871,718,23,720.48,93
1872,177,44,3904.56,73
1873,371,38,8525.82,248
1874,505,84,4068.78,348
1875,590,23,822.27,273
1876,356,45,5448.22,43
1877,1019,52,8624.34,41
1878,244,80,5923.34,170
1879,464,50,2301.48,212
1880,981,106,3873.18,168
1881,752,119,4528.73,39
1882,61,8,5813.7,245
1883,699,114,7605.54,151
1884,314,85,1033.79,111
1885,458,1,8902.04,47
1886,315,119,172.48,63
1887,1072,8,3732.02,225
1888,47,29,322.83,69
1889,798,96,3960.09,299
1890,619,102,5281.84,290
1891,1039,5,5141.23,296
1892,223,111,1698.0,203
1893,531,86,6475.12,61
1894,1017,47,495.55,318
1895,143,34,7630.97,314
1896,976,65,9469.11,161
1897,860,55,3430.7,331
1898,954,119,5196.53,16
1899,84,90,3820.16,338
1900,829,43,116.77,94
1901,807,74,3889.45,304
1902,191,30,7927.62,138
1903,116,114,5980.09,338
1904,84,82,1057.54,38
1905,1061,17,8479.04,127
1906,862,26,5334.3,275
1907,342,8,8425.15,164
1908,788,47,5823.2,319
1909,472,104,5618.9,77
1910,357,113,1097.33,174
1911,790,76,1715.23,358
1912,608,91,9721.65,321
1913,1036,72,2323.44,91
1914,125,89,9775.65,238
1915,843,46,5342.53,264
1916,520,68,1401.1,179
1917,481,33,1038.06,209
1918,194,1,2128.2,73
1919,211,19,9260.09,107
1920,498,31,4170.79,345
1921,939,80,3984.57,295
1922,764,14,3166.4,284
1923,852,53,1513.27,353
1924,973,48,4904.12,182
1925,36,69,1343.98,37
1926,359,105,8363.03,137
1927,804,90,3735.45,338
1928,180,62,3779.3,56
1929,176,92,4766.36,187
1930,944,66,4469.07,341
1931,729,114,9948.84,258
1932,111,64,5476.54,58
1933,543,70,927.61,363
1934,844,63,6088.43,123
1935,738,73,1558.26,188
1936,775,33,357.83,230
1937,1052,41,9708.88,168
1938,736,89,7746.71,114
1939,500,48,9802.08,252
1940,425,13,4804.89,107
1941,290,73,5345.96,37
1942,834,117,1724.95,335
1943,963,77,2506.73,92
1944,934,31,8393.56,18
1945,969,105,3594.05,354
1946,883,75,8276.81,63
1947,622,68,7104.69,150
1948,743,98,1812.85,139
1949,661,102,5099.09,186
1950,88,110,6790.0,185
1951,157,4,2388.62,205
1952,765,102,8315.35,260
1953,750,19,5471.04,214
1954,555,70,1694.16,256
1955,550,98,5850.7,135
1956,581,82,9997.15,61
1957,266,13,1547.69,363
1958,523,105,8176.73,310
1959,33,23,2112.72,88
1960,695,83,7834.76,324
1961,471,109,7359.05,207
1962,58,75,3039.87,129
1963,639,1,3291.94,311
1964,834,88,7935.59,3
1965,104,54,4641.38,242
1966,867,71,7321.64,121
1967,157,89,1522.44,102
1968,71,85,8532.95,38
1969,70,15,7123.3,341
1970,963,65,9074.08,133
1971,63,76,1367.11,202
1972,1070,71,5950.49,348
1973,1027,15,6011.25,21
1974,617,21,3566.93,242
1975,371,19,4611.74,109
1976,56,60,427.92,303
1977,675,93,7471.31,84
1978,760,89,5515.76,83
1979,197,33,624.52,291
1980,639,49,6823.52,69
1981,297,96,4694.48,129
1982,850,113,392.89,196
1983,484,35,9697.6,140
1984,935,44,9493.67,283
1985,951,102,5153.38,312
1986,1010,90,982.04,234
1987,731,11,7558.48,23
1988,663,99,4944.71,153
1989,159,72,3059.35,277
1990,1049,110,4939.61,61
1991,848,78,5248.32,319
1992,722,74,5648.98,52
1993,823,66,4440.18,344
1994,58,46,6077.27,153
1995,178,9,9191.41,237
